,CodaViolation,Condition,Item,OnsetViolation,PageType,ReactionTime,Response,Subject,TrialNumber,Version,Vowel,YesPosition
982,1,best,bressic,1,Catch,5530,1,A17T6TVHCLK3MH,4,0,,1
983,1,best,frotion,1,Catch,6521,1,A17T6TVHCLK3MH,5,0,,0
984,1,worst,wlratlumr,1,Catch,2345,0,A17T6TVHCLK3MH,6,0,,0
985,1,BB,hrootp,1,Test,2191,0,A17T6TVHCLK3MH,7,0,oo,0
986,1,worst,zgdokpevf,1,Catch,1989,0,A17T6TVHCLK3MH,8,0,,0
987,0,GG,skun,0,Test,2630,1,A17T6TVHCLK3MH,9,0,u,1
988,1,worst,kflisgwevr,1,Catch,2471,0,A17T6TVHCLK3MH,10,0,,0
989,0,GG,brack,0,Test,2148,1,A17T6TVHCLK3MH,11,0,a,1
990,0,BG,shlod,1,Test,2425,0,A17T6TVHCLK3MH,12,0,o,1
991,1,GB,splokp,0,Test,3099,0,A17T6TVHCLK3MH,13,0,o,1
992,1,BB,dloosf,1,Test,3672,0,A17T6TVHCLK3MH,14,0,oo,0
993,0,BG,shpiff,1,Test,3253,0,A17T6TVHCLK3MH,15,0,i,1
994,1,best,spellion,1,Catch,2543,1,A17T6TVHCLK3MH,16,0,,0
995,1,BB,shnethk,1,Test,2493,0,A17T6TVHCLK3MH,17,0,e,0
996,1,BB,thlishp,1,Test,2206,0,A17T6TVHCLK3MH,18,0,i,1
997,1,GB,plemth,0,Test,2385,0,A17T6TVHCLK3MH,19,0,e,1
998,0,GG,trug,0,Test,2477,1,A17T6TVHCLK3MH,20,0,u,0
999,1,BB,lrishk,1,Test,5463,1,A17T6TVHCLK3MH,21,0,i,1
1000,1,best,claffer,1,Catch,2076,1,A17T6TVHCLK3MH,22,0,,1
1001,0,BG,thmass,1,Test,2032,0,A17T6TVHCLK3MH,23,0,a,1
1002,1,best,merly,1,Catch,1730,1,A17T6TVHCLK3MH,24,0,,1
1003,1,worst,lbafthrizk,1,Catch,1889,0,A17T6TVHCLK3MH,25,0,,0
1004,0,GG,sle,0,Test,1678,1,A17T6TVHCLK3MH,26,0,e,0
1005,1,GB,smutp,0,Test,2828,0,A17T6TVHCLK3MH,27,0,u,0
1006,1,GB,kloothk,0,Test,2510,0,A17T6TVHCLK3MH,28,0,oo,0
1007,1,best,dellous,1,Catch,2107,1,A17T6TVHCLK3MH,29,0,,0
1008,1,GB,skrefsh,0,Test,7224,0,A17T6TVHCLK3MH,30,0,e,1
1009,0,GG,fleg,0,Test,2474,1,A17T6TVHCLK3MH,31,0,e,0
1010,1,worst,psafzotrl,1,Catch,2149,0,A17T6TVHCLK3MH,32,0,,0
1011,0,GG,praz,0,Test,1765,1,A17T6TVHCLK3MH,33,0,a,1
1012,0,BG,shtot,1,Test,3033,0,A17T6TVHCLK3MH,34,0,o,1
1013,0,BG,shtip,1,Test,5747,0,A17T6TVHCLK3MH,35,0,i,0
1014,1,GB,spooshp,0,Test,3750,0,A17T6TVHCLK3MH,36,0,oo,1
1015,1,BB,thlod,1,Test,2285,0,A17T6TVHCLK3MH,37,0,o,0
1016,0,BG,thnass,1,Test,1686,0,A17T6TVHCLK3MH,38,0,a,0
1289,1,worst,kflisgwevr,1,Catch,15931,0,A1AXTO77FG14E7,3,2,,0
1290,0,BG,vlack,1,Test,15983,1,A1AXTO77FG14E7,4,2,a,1
1291,1,BB,dlooshp,1,Test,9302,1,A1AXTO77FG14E7,5,2,oo,1
1292,1,BB,hrutp,1,Test,2125,1,A1AXTO77FG14E7,6,2,u,0
1293,1,GB,shrethk,0,Test,2479,1,A1AXTO77FG14E7,7,2,e,1
1294,0,GG,grot,0,Test,2514,1,A1AXTO77FG14E7,8,2,o,0
1295,0,BG,vle,1,Test,2311,0,A1AXTO77FG14E7,9,2,e,0
1296,0,BG,shnun,1,Test,1770,1,A1AXTO77FG14E7,10,2,u,0
1297,1,best,spellion,1,Catch,1471,0,A1AXTO77FG14E7,11,2,,1
1298,0,BG,thmeg,1,Test,2449,1,A1AXTO77FG14E7,12,2,e,0
1299,1,best,claffer,1,Catch,2505,1,A1AXTO77FG14E7,13,2,,1
1300,1,GB,gloosf,0,Test,2222,0,A1AXTO77FG14E7,14,2,oo,1
1301,0,GG,swod,0,Test,2672,1,A1AXTO77FG14E7,15,2,o,1
1302,1,GB,frootp,0,Test,1252,1,A1AXTO77FG14E7,16,2,oo,1
1303,0,BG,lrug,1,Test,2542,1,A1AXTO77FG14E7,17,2,u,0
1304,1,GB,blod,0,Test,1688,0,A1AXTO77FG14E7,18,2,o,1
1305,1,worst,wlratlumr,1,Catch,1793,0,A1AXTO77FG14E7,19,2,,0
1306,1,BB,shlokp,1,Test,2815,1,A1AXTO77FG14E7,20,2,o,1
1307,1,worst,psafzotrl,1,Catch,1972,0,A1AXTO77FG14E7,21,2,,0
1308,0,GG,snass,0,Test,4848,1,A1AXTO77FG14E7,22,2,a,1
1309,1,GB,krishp,0,Test,1791,0,A1AXTO77FG14E7,23,2,i,0
1310,0,GG,stip,0,Test,3815,1,A1AXTO77FG14E7,24,2,i,0
1311,1,best,merly,1,Catch,2168,0,A1AXTO77FG14E7,25,2,,1
1312,1,best,bressic,1,Catch,2528,0,A1AXTO77FG14E7,26,2,,0
1313,1,BB,zmemth,1,Test,1757,0,A1AXTO77FG14E7,27,2,e,1
1314,1,BB,shpefsh,1,Test,1541,0,A1AXTO77FG14E7,28,2,e,0
1315,1,worst,zgdokpevf,1,Catch,1538,0,A1AXTO77FG14E7,29,2,,0
1316,1,BB,thnoothk,1,Test,2238,1,A1AXTO77FG14E7,30,2,oo,1
1317,0,BG,zmaz,1,Test,1498,0,A1AXTO77FG14E7,31,2,a,0
1318,1,worst,lbafthrizk,1,Catch,1449,0,A1AXTO77FG14E7,32,2,,1
1319,1,best,frotion,1,Catch,1632,1,A1AXTO77FG14E7,33,2,,0
1320,1,best,dellous,1,Catch,3268,1,A1AXTO77FG14E7,34,2,,0
1321,0,GG,drass,0,Test,1260,1,A1AXTO77FG14E7,35,2,a,0
1322,1,GB,thrishk,0,Test,1177,1,A1AXTO77FG14E7,36,2,i,0
1323,0,GG,striff,0,Test,1724,1,A1AXTO77FG14E7,37,2,i,1
1324,1,worst,tmuhriz,1,Catch,1342,0,A1AXTO77FG14E7,38,2,,0
1334,1,BB,thlishp,1,Test,21155,1,A1BTABA4W0RU55,3,0,i,0
1335,1,GB,splokp,0,Test,20695,1,A1BTABA4W0RU55,4,0,o,0
1336,0,BG,shlod,1,Test,5659,1,A1BTABA4W0RU55,5,0,o,1
1337,1,worst,lbafthrizk,1,Catch,2419,0,A1BTABA4W0RU55,6,0,,0
1338,1,worst,wlratlumr,1,Catch,2075,0,A1BTABA4W0RU55,7,0,,0
1339,1,GB,skrefsh,0,Test,2499,1,A1BTABA4W0RU55,8,0,e,1
1340,1,worst,psafzotrl,1,Catch,3882,0,A1BTABA4W0RU55,9,0,,1
1341,0,GG,trug,0,Test,1965,1,A1BTABA4W0RU55,10,0,u,1
1342,0,GG,fleg,0,Test,1916,1,A1BTABA4W0RU55,11,0,e,1
1343,0,GG,sle,0,Test,1660,1,A1BTABA4W0RU55,12,0,e,1
1344,0,BG,thnass,1,Test,3060,1,A1BTABA4W0RU55,13,0,a,1
1345,0,GG,brack,0,Test,1332,1,A1BTABA4W0RU55,14,0,a,1
1346,1,worst,kflisgwevr,1,Catch,2372,0,A1BTABA4W0RU55,15,0,,0
1347,0,BG,thmass,1,Test,4740,1,A1BTABA4W0RU55,16,0,a,0
1348,0,GG,skun,0,Test,1795,1,A1BTABA4W0RU55,17,0,u,0
1349,1,BB,dloosf,1,Test,3533,0,A1BTABA4W0RU55,18,0,oo,1
1350,1,BB,thlod,1,Test,5204,0,A1BTABA4W0RU55,19,0,o,0
1351,1,best,frotion,1,Catch,2099,1,A1BTABA4W0RU55,20,0,,1
1352,1,GB,plemth,0,Test,6684,1,A1BTABA4W0RU55,21,0,e,0
1353,1,best,claffer,1,Catch,1676,1,A1BTABA4W0RU55,22,0,,0
1354,1,GB,spooshp,0,Test,4074,1,A1BTABA4W0RU55,23,0,oo,0
1355,1,GB,kloothk,0,Test,2684,1,A1BTABA4W0RU55,24,0,oo,1
1356,1,GB,smutp,0,Test,3268,1,A1BTABA4W0RU55,25,0,u,1
1357,0,BG,shpiff,1,Test,4284,1,A1BTABA4W0RU55,26,0,i,0
1358,0,BG,shtip,1,Test,2675,1,A1BTABA4W0RU55,27,0,i,0
1359,1,BB,shnethk,1,Test,3562,0,A1BTABA4W0RU55,28,0,e,0
1360,1,best,spellion,1,Catch,1451,1,A1BTABA4W0RU55,29,0,,0
1361,1,worst,zgdokpevf,1,Catch,1707,0,A1BTABA4W0RU55,30,0,,0
1362,0,GG,praz,0,Test,1684,1,A1BTABA4W0RU55,31,0,a,1
1363,1,best,merly,1,Catch,1788,1,A1BTABA4W0RU55,32,0,,0
1364,1,BB,hrootp,1,Test,4228,0,A1BTABA4W0RU55,33,0,oo,0
1365,1,worst,tmuhriz,1,Catch,1917,0,A1BTABA4W0RU55,34,0,,1
1366,1,best,bressic,1,Catch,1588,1,A1BTABA4W0RU55,35,0,,0
1367,1,BB,lrishk,1,Test,2620,0,A1BTABA4W0RU55,36,0,i,1
1368,0,BG,shtot,1,Test,3444,1,A1BTABA4W0RU55,37,0,o,0
1369,1,best,dellous,1,Catch,2619,1,A1BTABA4W0RU55,38,0,,0
1468,1,worst,kflisgwevr,1,Catch,8985,0,A1CZK35VFK4EQH,3,2,,1
1469,0,BG,lrug,1,Test,12922,1,A1CZK35VFK4EQH,4,2,u,0
1470,0,GG,stip,0,Test,4196,1,A1CZK35VFK4EQH,5,2,i,1
1471,0,BG,thmeg,1,Test,4521,0,A1CZK35VFK4EQH,6,2,e,0
1472,1,BB,thnoothk,1,Test,5932,0,A1CZK35VFK4EQH,7,2,oo,0
1473,1,best,dellous,1,Catch,2245,1,A1CZK35VFK4EQH,8,2,,1
1474,1,GB,thrishk,0,Test,7101,1,A1CZK35VFK4EQH,9,2,i,1
1475,0,BG,shnun,1,Test,3348,0,A1CZK35VFK4EQH,10,2,u,0
1476,0,GG,grot,0,Test,3587,1,A1CZK35VFK4EQH,11,2,o,1
1477,1,best,claffer,1,Catch,1876,1,A1CZK35VFK4EQH,12,2,,0
1478,1,best,bressic,1,Catch,1734,1,A1CZK35VFK4EQH,13,2,,0
1479,1,best,merly,1,Catch,1413,1,A1CZK35VFK4EQH,14,2,,0
1480,1,worst,wlratlumr,1,Catch,2340,0,A1CZK35VFK4EQH,15,2,,0
1481,1,GB,shrethk,0,Test,3829,1,A1CZK35VFK4EQH,16,2,e,1
1482,1,worst,psafzotrl,1,Catch,1980,0,A1CZK35VFK4EQH,17,2,,1
1483,1,best,spellion,1,Catch,2644,1,A1CZK35VFK4EQH,18,2,,0
1484,1,GB,gloosf,0,Test,6526,0,A1CZK35VFK4EQH,19,2,oo,1
1485,0,GG,swod,0,Test,1725,1,A1CZK35VFK4EQH,20,2,o,1
1486,0,GG,snass,0,Test,1531,1,A1CZK35VFK4EQH,21,2,a,0
1487,0,GG,drass,0,Test,1557,1,A1CZK35VFK4EQH,22,2,a,0
1488,1,GB,blod,0,Test,2012,0,A1CZK35VFK4EQH,23,2,o,1
1489,1,BB,shpefsh,1,Test,2212,0,A1CZK35VFK4EQH,24,2,e,0
1490,1,BB,zmemth,1,Test,1805,0,A1CZK35VFK4EQH,25,2,e,1
1491,1,worst,tmuhriz,1,Catch,1909,0,A1CZK35VFK4EQH,26,2,,1
1492,0,BG,vlack,1,Test,1932,1,A1CZK35VFK4EQH,27,2,a,1
1493,1,GB,krishp,0,Test,4675,0,A1CZK35VFK4EQH,28,2,i,1
1494,1,BB,shlokp,1,Test,2357,0,A1CZK35VFK4EQH,29,2,o,1
1495,1,best,frotion,1,Catch,1781,1,A1CZK35VFK4EQH,30,2,,1
1496,1,BB,hrutp,1,Test,1772,1,A1CZK35VFK4EQH,31,2,u,0
1497,1,worst,lbafthrizk,1,Catch,1981,0,A1CZK35VFK4EQH,32,2,,0
1498,0,GG,striff,0,Test,1725,1,A1CZK35VFK4EQH,33,2,i,0
1499,1,BB,dlooshp,1,Test,1572,0,A1CZK35VFK4EQH,34,2,oo,0
1500,0,BG,vle,1,Test,2492,1,A1CZK35VFK4EQH,35,2,e,1
1501,1,GB,frootp,0,Test,2085,0,A1CZK35VFK4EQH,36,2,oo,0
1502,1,worst,zgdokpevf,1,Catch,1530,0,A1CZK35VFK4EQH,37,2,,0
1503,0,BG,zmaz,1,Test,1787,0,A1CZK35VFK4EQH,38,2,a,1
1623,1,best,merly,1,Catch,9523,1,A1DY2HA6GUYR2T,3,1,,0
1624,1,GB,slemth,0,Test,8704,1,A1DY2HA6GUYR2T,4,1,e,1
1625,1,BB,shlokp,1,Test,3215,0,A1DY2HA6GUYR2T,5,1,o,0
1626,0,BG,shpeff,1,Test,2308,0,A1DY2HA6GUYR2T,6,1,e,0
1627,1,GB,flepk,0,Test,2976,1,A1DY2HA6GUYR2T,7,1,e,0
1628,1,GB,skuthp,0,Test,2456,0,A1DY2HA6GUYR2T,8,1,u,1
1629,1,BB,shpishk,1,Test,1925,0,A1DY2HA6GUYR2T,9,1,i,0
1630,1,BB,shtithp,1,Test,3117,0,A1DY2HA6GUYR2T,10,1,i,1
1631,1,best,dellous,1,Catch,1700,1,A1DY2HA6GUYR2T,11,1,,1
1632,1,best,spellion,1,Catch,1534,1,A1DY2HA6GUYR2T,12,1,,1
1633,0,BG,zmen,1,Test,3300,0,A1DY2HA6GUYR2T,13,1,e,0
1634,0,BG,hrul,1,Test,2189,0,A1DY2HA6GUYR2T,14,1,u,0
1635,1,GB,brafsh,0,Test,5013,1,A1DY2HA6GUYR2T,15,1,a,1
1636,1,worst,kflisgwevr,1,Catch,2971,0,A1DY2HA6GUYR2T,16,1,,1
1637,1,GB,prad,0,Test,2958,1,A1DY2HA6GUYR2T,17,1,a,1
1638,0,BG,dlood,1,Test,1813,1,A1DY2HA6GUYR2T,18,1,oo,0
1639,1,worst,psafzotrl,1,Catch,2468,0,A1DY2HA6GUYR2T,19,1,,1
1640,0,GG,thrit,0,Test,1908,0,A1DY2HA6GUYR2T,20,1,i,1
1641,1,worst,zgdokpevf,1,Catch,1678,0,A1DY2HA6GUYR2T,21,1,,1
1642,0,BG,shlock,1,Test,1645,1,A1DY2HA6GUYR2T,22,1,o,0
1643,1,worst,lbafthrizk,1,Catch,1725,0,A1DY2HA6GUYR2T,23,1,,0
1644,0,GG,gloo,0,Test,1525,1,A1DY2HA6GUYR2T,24,1,oo,1
1645,1,best,frotion,1,Catch,1797,1,A1DY2HA6GUYR2T,25,1,,0
1646,0,GG,shrell,0,Test,1399,1,A1DY2HA6GUYR2T,26,1,e,0
1647,1,BB,thnathf,1,Test,1477,0,A1DY2HA6GUYR2T,27,1,a,0
1648,1,BB,shtopk,1,Test,2655,0,A1DY2HA6GUYR2T,28,1,o,0
1649,1,worst,tmuhriz,1,Catch,1823,0,A1DY2HA6GUYR2T,29,1,,0
1650,0,GG,froom,0,Test,1267,1,A1DY2HA6GUYR2T,30,1,oo,1
1651,1,worst,wlratlumr,1,Catch,2276,0,A1DY2HA6GUYR2T,31,1,,0
1652,1,GB,trusf,0,Test,2077,1,A1DY2HA6GUYR2T,32,1,u,1
1653,1,BB,thmathf,1,Test,2614,0,A1DY2HA6GUYR2T,33,1,a,0
1654,1,best,bressic,1,Catch,1325,1,A1DY2HA6GUYR2T,34,1,,0
1655,0,BG,thnoop,1,Test,2405,1,A1DY2HA6GUYR2T,35,1,oo,1
1656,1,best,claffer,1,Catch,2132,1,A1DY2HA6GUYR2T,36,1,,0
1657,0,GG,blom,0,Test,1790,1,A1DY2HA6GUYR2T,37,1,o,0
1658,0,GG,krizz,0,Test,1981,1,A1DY2HA6GUYR2T,38,1,i,1
1705,0,BG,shlod,1,Test,7843,0,A1EWD6HF7R2KC1,3,0,o,1
1706,1,GB,kloothk,0,Test,2276,0,A1EWD6HF7R2KC1,4,0,oo,1
1707,0,GG,trug,0,Test,3087,1,A1EWD6HF7R2KC1,5,0,u,0
1708,1,GB,smutp,0,Test,2011,0,A1EWD6HF7R2KC1,6,0,u,1
1709,1,worst,wlratlumr,1,Catch,1931,0,A1EWD6HF7R2KC1,7,0,,0
1710,1,BB,thlishp,1,Test,2634,0,A1EWD6HF7R2KC1,8,0,i,1
1711,1,GB,plemth,0,Test,1442,0,A1EWD6HF7R2KC1,9,0,e,1
1712,1,best,bressic,1,Catch,2019,0,A1EWD6HF7R2KC1,10,0,,0
1713,0,GG,fleg,0,Test,1388074,1,A1EWD6HF7R2KC1,11,0,e,0
1714,1,BB,lrishk,1,Test,2729,0,A1EWD6HF7R2KC1,12,0,i,1
1715,1,best,spellion,1,Catch,3243,1,A1EWD6HF7R2KC1,13,0,,1
1716,1,best,dellous,1,Catch,2536,1,A1EWD6HF7R2KC1,14,0,,1
1717,0,BG,shtot,1,Test,1507,0,A1EWD6HF7R2KC1,15,0,o,1
1718,1,GB,splokp,0,Test,2666,0,A1EWD6HF7R2KC1,16,0,o,1
1719,0,BG,shtip,1,Test,1739,1,A1EWD6HF7R2KC1,17,0,i,1
1720,1,BB,dloosf,1,Test,3185,1,A1EWD6HF7R2KC1,18,0,oo,0
1721,0,GG,skun,0,Test,1668,1,A1EWD6HF7R2KC1,19,0,u,0
1722,1,worst,kflisgwevr,1,Catch,2195,0,A1EWD6HF7R2KC1,20,0,,1
1723,1,best,claffer,1,Catch,2324,1,A1EWD6HF7R2KC1,21,0,,1
1724,1,BB,hrootp,1,Test,1404,0,A1EWD6HF7R2KC1,22,0,oo,1
1725,1,GB,spooshp,0,Test,3683,0,A1EWD6HF7R2KC1,23,0,oo,1
1726,0,BG,shpiff,1,Test,2162,0,A1EWD6HF7R2KC1,24,0,i,1
1727,0,GG,brack,0,Test,1294,1,A1EWD6HF7R2KC1,25,0,a,1
1728,1,worst,lbafthrizk,1,Catch,1191,0,A1EWD6HF7R2KC1,26,0,,1
1729,1,worst,psafzotrl,1,Catch,1603,0,A1EWD6HF7R2KC1,27,0,,0
1730,1,best,merly,1,Catch,2453,1,A1EWD6HF7R2KC1,28,0,,1
1731,0,BG,thnass,1,Test,1275,0,A1EWD6HF7R2KC1,29,0,a,1
1732,1,best,frotion,1,Catch,1621,1,A1EWD6HF7R2KC1,30,0,,0
1733,1,BB,thlod,1,Test,1259,0,A1EWD6HF7R2KC1,31,0,o,0
1734,1,BB,shnethk,1,Test,2687,0,A1EWD6HF7R2KC1,32,0,e,0
1735,1,worst,zgdokpevf,1,Catch,1051,0,A1EWD6HF7R2KC1,33,0,,0
1736,1,GB,skrefsh,0,Test,1768,1,A1EWD6HF7R2KC1,34,0,e,1
1737,0,GG,sle,0,Test,1395,1,A1EWD6HF7R2KC1,35,0,e,1
1738,1,worst,tmuhriz,1,Catch,1148,0,A1EWD6HF7R2KC1,36,0,,1
1739,0,BG,thmass,1,Test,3331,0,A1EWD6HF7R2KC1,37,0,a,1
1740,0,GG,praz,0,Test,1484,1,A1EWD6HF7R2KC1,38,0,a,0
1882,0,BG,shtot,1,Test,4615,0,A1G93QD73GJ4R7,3,0,o,1
1883,1,best,spellion,1,Catch,1878,1,A1G93QD73GJ4R7,4,0,,0
1884,1,best,bressic,1,Catch,1722,1,A1G93QD73GJ4R7,5,0,,1
1885,1,worst,lbafthrizk,1,Catch,1167,0,A1G93QD73GJ4R7,6,0,,1
1886,1,BB,lrishk,1,Test,1505,1,A1G93QD73GJ4R7,7,0,i,0
1887,0,GG,trug,0,Test,1702,1,A1G93QD73GJ4R7,8,0,u,1
1888,0,BG,shpiff,1,Test,2384,0,A1G93QD73GJ4R7,9,0,i,0
1889,1,best,merly,1,Catch,2102,1,A1G93QD73GJ4R7,10,0,,1
1890,1,worst,psafzotrl,1,Catch,1676,0,A1G93QD73GJ4R7,11,0,,0
1891,1,worst,kflisgwevr,1,Catch,1483,0,A1G93QD73GJ4R7,12,0,,1
1892,0,BG,shtip,1,Test,1658,0,A1G93QD73GJ4R7,13,0,i,0
1893,1,best,claffer,1,Catch,1419,1,A1G93QD73GJ4R7,14,0,,1
1894,1,worst,tmuhriz,1,Catch,2062,0,A1G93QD73GJ4R7,15,0,,0
1895,1,best,frotion,1,Catch,1995,1,A1G93QD73GJ4R7,16,0,,1
1896,0,BG,shlod,1,Test,2754,0,A1G93QD73GJ4R7,17,0,o,0
1897,0,GG,praz,0,Test,2273,0,A1G93QD73GJ4R7,18,0,a,1
1898,1,BB,thlod,1,Test,1814,0,A1G93QD73GJ4R7,19,0,o,0
1899,0,BG,thnass,1,Test,1824,1,A1G93QD73GJ4R7,20,0,a,1
1900,1,GB,spooshp,0,Test,2345,0,A1G93QD73GJ4R7,21,0,oo,1
1901,1,BB,shnethk,1,Test,1486,0,A1G93QD73GJ4R7,22,0,e,0
1902,1,BB,hrootp,1,Test,1934,0,A1G93QD73GJ4R7,23,0,oo,1
1903,1,GB,kloothk,0,Test,1700,0,A1G93QD73GJ4R7,24,0,oo,0
1904,0,GG,skun,0,Test,3896,1,A1G93QD73GJ4R7,25,0,u,0
1905,0,GG,sle,0,Test,1252,1,A1G93QD73GJ4R7,26,0,e,0
