,CodaViolation,Condition,Filler,Item,OnsetViolation,ReactionTime,SelectedTest,Subject,TestPosition,TrialNumber,Version,Vowel
273,1,BB,glagd,9,1,1078,0,A177EXELDLWTWV,1,14,2,u
275,1,BB,spup,13,1,927,0,A177EXELDLWTWV,0,16,2,e
276,1,BB,brur,17,1,1062,0,A177EXELDLWTWV,0,17,2,oo
277,0,GG,blelth,22,0,886,1,A177EXELDLWTWV,1,18,2,i
278,0,BG,spelsh,12,1,1246,0,A177EXELDLWTWV,1,19,2,a
279,1,GB,gralfth,3,0,1431,0,A177EXELDLWTWV,1,20,2,i
280,1,BB,flelg,1,1,1148,0,A177EXELDLWTWV,0,21,2,e
281,0,GG,sklime,2,0,821,1,A177EXELDLWTWV,1,22,2,o
282,0,BG,felmth,8,1,1150,0,A177EXELDLWTWV,0,23,2,e
284,1,GB,trilb,11,0,790,1,A177EXELDLWTWV,1,25,2,oo
285,0,BG,gwald,4,1,1334,1,A177EXELDLWTWV,0,26,2,u
286,1,GB,smim,15,0,942,0,A177EXELDLWTWV,0,27,2,o
287,0,BG,sloond,16,1,918,0,A177EXELDLWTWV,0,28,2,e
288,0,GG,threlt,10,0,1038,1,A177EXELDLWTWV,1,29,2,o
298,0,GG,gwald,22,0,4549,1,A19FK8L3UPPO17,0,2,2,i
299,0,GG,gwempt,2,0,2022,1,A19FK8L3UPPO17,1,3,2,o
300,0,BG,slils,0,1,2296,0,A19FK8L3UPPO17,1,4,2,a
301,0,GG,gralfth,14,0,1476,1,A19FK8L3UPPO17,0,5,2,i
302,1,BB,sklime,9,1,1796,0,A19FK8L3UPPO17,1,6,2,u
304,1,BB,throth,13,1,1295,0,A19FK8L3UPPO17,1,8,2,e
305,0,GG,dwoond,10,0,1749,1,A19FK8L3UPPO17,0,9,2,o
306,1,BB,threlt,1,1,2095,0,A19FK8L3UPPO17,0,10,2,e
307,0,BG,sloond,8,1,2021,0,A19FK8L3UPPO17,0,11,2,e
308,0,BG,skoths,4,1,1885,0,A19FK8L3UPPO17,0,12,2,u
312,1,BB,smim,5,1,1310,0,A19FK8L3UPPO17,0,16,2,oo
313,0,GG,shesp,6,0,1391,1,A19FK8L3UPPO17,1,17,2,a
314,0,GG,skuck,18,0,1688,0,A19FK8L3UPPO17,0,18,2,a
315,1,BB,brur,17,1,2206,0,A19FK8L3UPPO17,1,19,2,oo
316,1,GB,glagd,23,0,1694,1,A19FK8L3UPPO17,1,20,2,oo
317,1,GB,skralk,3,0,2568,0,A19FK8L3UPPO17,0,21,2,i
318,1,GB,trilb,11,0,2500,0,A19FK8L3UPPO17,0,22,2,oo
319,0,BG,felmth,20,1,1801,1,A19FK8L3UPPO17,1,23,2,u
320,1,BB,flelg,21,1,2967,0,A19FK8L3UPPO17,1,24,2,o
321,1,GB,spup,7,0,2002,0,A19FK8L3UPPO17,1,25,2,i
322,0,BG,shrelth,16,1,1676,0,A19FK8L3UPPO17,1,26,2,e
323,1,GB,spelsh,19,0,1422,0,A19FK8L3UPPO17,0,27,2,e
324,0,BG,blelth,12,1,4235,0,A19FK8L3UPPO17,1,28,2,a
325,1,GB,fashk,15,0,2995,0,A19FK8L3UPPO17,1,29,2,o
335,0,BG,glagd,3,1,17969,0,A19TPHS27IO1CG,0,2,3,i
336,0,GG,dwoond,17,0,11955,1,A19TPHS27IO1CG,0,3,3,oo
337,1,BB,throth,16,1,6613,0,A19TPHS27IO1CG,0,4,3,e
338,0,GG,gralfth,5,0,13973,0,A19TPHS27IO1CG,0,5,3,oo
339,1,BB,skuck,12,1,10054,0,A19TPHS27IO1CG,1,6,3,a
340,0,GG,skoths,21,0,5627,1,A19TPHS27IO1CG,1,7,3,o
341,0,BG,shrelth,23,1,6584,0,A19TPHS27IO1CG,0,8,3,oo
343,1,GB,brur,22,0,7585,1,A19TPHS27IO1CG,1,10,3,i
344,1,BB,gwald,8,1,4191,0,A19TPHS27IO1CG,0,11,3,e
346,0,GG,threlt,9,0,2333,0,A19TPHS27IO1CG,0,13,3,u
347,1,GB,felmth,6,0,5733,1,A19TPHS27IO1CG,0,14,3,a
349,1,GB,slils,18,0,9562,1,A19TPHS27IO1CG,1,16,3,a
351,0,BG,skralk,19,1,5797,0,A19TPHS27IO1CG,1,18,3,e
352,1,BB,smim,0,1,7484,0,A19TPHS27IO1CG,0,19,3,a
353,1,BB,sklime,20,1,6719,0,A19TPHS27IO1CG,0,20,3,u
354,0,BG,spup,11,1,14104,1,A19TPHS27IO1CG,0,21,3,oo
355,0,GG,sloond,13,0,16302,0,A19TPHS27IO1CG,1,22,3,e
356,0,GG,shesp,1,0,3425,1,A19TPHS27IO1CG,1,23,3,e
357,1,GB,gwempt,2,0,10701,0,A19TPHS27IO1CG,0,24,3,o
358,0,BG,spelsh,15,1,4487,0,A19TPHS27IO1CG,1,25,3,o
359,1,BB,blelth,4,1,5492,0,A19TPHS27IO1CG,1,26,3,u
360,1,GB,flelg,10,0,3971,1,A19TPHS27IO1CG,1,27,3,o
361,0,BG,trilb,7,1,5053,0,A19TPHS27IO1CG,1,28,3,i
362,1,GB,fashk,14,0,4590,1,A19TPHS27IO1CG,1,29,3,i
372,1,BB,skoths,0,1,17441,0,A1AVXGO6VIGH7D,0,2,3,a
374,0,BG,shrelth,15,1,1574,0,A1AVXGO6VIGH7D,1,4,3,o
375,1,GB,gwald,6,0,1880,0,A1AVXGO6VIGH7D,1,5,3,a
376,1,GB,trilb,14,0,1420,0,A1AVXGO6VIGH7D,1,6,3,i
377,1,GB,smim,18,0,1060,0,A1AVXGO6VIGH7D,0,7,3,a
378,1,BB,fashk,20,1,1614,1,A1AVXGO6VIGH7D,1,8,3,u
379,0,GG,slils,13,0,1681,0,A1AVXGO6VIGH7D,1,9,3,e
380,0,BG,sloond,11,1,1282,0,A1AVXGO6VIGH7D,0,10,3,oo
382,0,GG,gwempt,5,0,4797,1,A1AVXGO6VIGH7D,0,12,3,oo
383,1,BB,flelg,4,1,3147,1,A1AVXGO6VIGH7D,1,13,3,u
384,0,GG,skralk,1,0,1408,0,A1AVXGO6VIGH7D,0,14,3,e
385,0,GG,glagd,17,0,2028,1,A1AVXGO6VIGH7D,1,15,3,oo
386,1,BB,gralfth,8,1,1035,0,A1AVXGO6VIGH7D,1,16,3,e
387,1,GB,brur,10,0,1118,1,A1AVXGO6VIGH7D,0,17,3,o
388,0,BG,shesp,23,1,1603,1,A1AVXGO6VIGH7D,0,18,3,oo
389,0,BG,threlt,7,1,2708,0,A1AVXGO6VIGH7D,0,19,3,i
390,1,GB,felmth,22,0,1732,0,A1AVXGO6VIGH7D,0,20,3,i
391,1,BB,skuck,16,1,1484,0,A1AVXGO6VIGH7D,1,21,3,e
392,0,GG,blelth,21,0,1192,1,A1AVXGO6VIGH7D,0,22,3,o
393,0,BG,throth,19,1,3977,0,A1AVXGO6VIGH7D,0,23,3,e
394,0,GG,sklime,9,0,1149,1,A1AVXGO6VIGH7D,1,24,3,u
396,1,BB,spelsh,12,1,941,0,A1AVXGO6VIGH7D,0,26,3,a
397,1,GB,dwoond,2,0,969,0,A1AVXGO6VIGH7D,1,27,3,o
399,0,BG,spup,3,1,1197,0,A1AVXGO6VIGH7D,0,29,3,i
447,1,GB,blelth,14,0,3171,0,A1DJDT4B5B19Q2,0,3,3,i
448,1,BB,skuck,20,1,1887,0,A1DJDT4B5B19Q2,0,4,3,u
449,1,BB,sklime,12,1,1788,0,A1DJDT4B5B19Q2,1,5,3,a
450,0,BG,threlt,7,1,7941,0,A1DJDT4B5B19Q2,0,6,3,i
451,0,GG,brur,1,0,2705,1,A1DJDT4B5B19Q2,0,7,3,e
452,0,GG,gralfth,17,0,2954,1,A1DJDT4B5B19Q2,1,8,3,oo
453,0,GG,trilb,5,0,2857,1,A1DJDT4B5B19Q2,0,9,3,oo
454,0,GG,spup,21,0,2046,1,A1DJDT4B5B19Q2,0,10,3,o
455,1,BB,flelg,8,1,1929,0,A1DJDT4B5B19Q2,1,11,3,e
456,0,BG,fashk,15,1,1787,1,A1DJDT4B5B19Q2,1,12,3,o
457,1,GB,gwempt,2,0,2211,1,A1DJDT4B5B19Q2,0,13,3,o
458,0,BG,shrelth,23,1,4346,1,A1DJDT4B5B19Q2,1,14,3,oo
460,0,BG,shesp,3,1,1923,1,A1DJDT4B5B19Q2,1,16,3,i
461,1,GB,skoths,6,0,2021,0,A1DJDT4B5B19Q2,1,17,3,a
462,1,BB,throth,0,1,2165,0,A1DJDT4B5B19Q2,1,18,3,a
463,0,BG,dwoond,11,1,3309,1,A1DJDT4B5B19Q2,0,19,3,oo
464,1,GB,smim,10,0,1920,0,A1DJDT4B5B19Q2,1,20,3,o
465,1,BB,glagd,16,1,2006,0,A1DJDT4B5B19Q2,0,21,3,e
468,1,BB,skralk,4,1,2177,0,A1DJDT4B5B19Q2,0,24,3,u
469,1,GB,felmth,22,0,1862,0,A1DJDT4B5B19Q2,0,25,3,i
470,0,GG,sloond,13,0,1824,0,A1DJDT4B5B19Q2,1,26,3,e
471,0,BG,slils,19,1,1726,0,A1DJDT4B5B19Q2,0,27,3,e
472,1,GB,spelsh,18,0,1461,0,A1DJDT4B5B19Q2,1,28,3,a
473,0,GG,gwald,9,0,2006,1,A1DJDT4B5B19Q2,1,29,3,u
483,0,BG,trilb,8,1,4120,1,A1E0GR2W1GJO0E,1,2,2,e
484,0,GG,shesp,10,0,2306,1,A1E0GR2W1GJO0E,0,3,2,o
485,1,GB,spelsh,7,0,1870,0,A1E0GR2W1GJO0E,1,4,2,i
487,1,GB,glagd,23,0,3153,1,A1E0GR2W1GJO0E,1,6,2,oo
488,1,BB,skoths,1,1,2104,0,A1E0GR2W1GJO0E,0,7,2,e
489,1,BB,blelth,5,1,2039,0,A1E0GR2W1GJO0E,0,8,2,oo
490,1,BB,slils,9,1,1845,0,A1E0GR2W1GJO0E,1,9,2,u
491,0,BG,flelg,4,1,1977,1,A1E0GR2W1GJO0E,0,10,2,u
493,1,GB,fashk,3,0,1130,0,A1E0GR2W1GJO0E,0,12,2,i
494,0,GG,gwempt,2,0,1196,1,A1E0GR2W1GJO0E,0,13,2,o
495,1,BB,gralfth,13,1,3214,0,A1E0GR2W1GJO0E,0,14,2,e
496,0,GG,smim,6,0,1588,1,A1E0GR2W1GJO0E,0,15,2,a
497,1,GB,sloond,15,0,1584,0,A1E0GR2W1GJO0E,0,16,2,o
498,1,GB,shrelth,11,0,1461,0,A1E0GR2W1GJO0E,1,17,2,oo
499,0,GG,threlt,22,0,1093,1,A1E0GR2W1GJO0E,0,18,2,i
500,1,BB,gwald,21,1,1817,0,A1E0GR2W1GJO0E,0,19,2,o
501,0,BG,felmth,12,1,4691,0,A1E0GR2W1GJO0E,0,20,2,a
502,0,BG,skralk,20,1,2802,0,A1E0GR2W1GJO0E,0,21,2,u
503,0,BG,brur,16,1,1553,0,A1E0GR2W1GJO0E,1,22,2,e
505,1,BB,spup,17,1,1245,0,A1E0GR2W1GJO0E,1,24,2,oo
506,0,GG,dwoond,18,0,1077,1,A1E0GR2W1GJO0E,1,25,2,a
507,0,GG,sklime,14,0,919,1,A1E0GR2W1GJO0E,0,26,2,i
508,0,BG,skuck,0,1,2150,0,A1E0GR2W1GJO0E,1,27,2,a
510,1,GB,throth,19,0,987,0,A1E0GR2W1GJO0E,1,29,2,e
520,0,GG,skuck,18,0,8251,1,A1HEUEDPR3L0F3,0,2,2,a
522,1,BB,skralk,5,1,4461,0,A1HEUEDPR3L0F3,1,4,2,oo
523,0,GG,blelth,22,0,4942,1,A1HEUEDPR3L0F3,1,5,2,i
524,0,BG,glagd,4,1,2142,0,A1HEUEDPR3L0F3,1,6,2,u
525,1,GB,gwald,15,0,2042,1,A1HEUEDPR3L0F3,1,7,2,o
526,1,BB,shesp,17,1,1510,0,A1HEUEDPR3L0F3,1,8,2,oo
527,0,BG,spup,16,1,2254,0,A1HEUEDPR3L0F3,1,9,2,e
528,1,BB,slils,9,1,1405,0,A1HEUEDPR3L0F3,1,10,2,u
529,1,GB,skoths,7,0,1247,0,A1HEUEDPR3L0F3,0,11,2,i
530,1,GB,fashk,23,0,1518,1,A1HEUEDPR3L0F3,1,12,2,oo
531,0,GG,dwoond,2,0,1447,1,A1HEUEDPR3L0F3,1,13,2,o
532,1,GB,threlt,19,0,1311,0,A1HEUEDPR3L0F3,1,14,2,e
533,1,GB,flelg,3,0,2527,0,A1HEUEDPR3L0F3,1,15,2,i
534,0,GG,sloond,6,0,1991,1,A1HEUEDPR3L0F3,1,16,2,a
535,0,BG,sklime,0,1,1151,1,A1HEUEDPR3L0F3,0,17,2,a
536,0,BG,felmth,20,1,1454,0,A1HEUEDPR3L0F3,0,18,2,u
537,0,BG,shrelth,8,1,1831,0,A1HEUEDPR3L0F3,1,19,2,e
538,1,BB,spelsh,21,1,1559,0,A1HEUEDPR3L0F3,0,20,2,o
540,0,BG,smim,12,1,1624,1,A1HEUEDPR3L0F3,1,22,2,a
542,1,GB,gralfth,11,0,1840,1,A1HEUEDPR3L0F3,1,24,2,oo
544,1,BB,brur,1,1,1343,0,A1HEUEDPR3L0F3,0,26,2,e
545,1,BB,throth,13,1,1407,0,A1HEUEDPR3L0F3,0,27,2,e
546,0,GG,trilb,14,0,1711,1,A1HEUEDPR3L0F3,0,28,2,i
547,0,GG,gwempt,10,0,983,1,A1HEUEDPR3L0F3,1,29,2,o
557,1,GB,spup,15,0,6956,0,A1HH2KZIFLXRJL,0,2,2,o
560,1,BB,gralfth,21,1,5241,0,A1HH2KZIFLXRJL,1,5,2,o
561,1,GB,threlt,11,0,4031,0,A1HH2KZIFLXRJL,0,6,2,oo
562,0,BG,skralk,16,1,2640,0,A1HH2KZIFLXRJL,0,7,2,e
563,0,GG,gwald,2,0,1497,1,A1HH2KZIFLXRJL,0,8,2,o
564,1,BB,throth,17,1,1625,0,A1HH2KZIFLXRJL,1,9,2,oo
566,1,BB,blelth,13,1,1521,1,A1HH2KZIFLXRJL,0,11,2,e
567,1,BB,trilb,5,1,1953,0,A1HH2KZIFLXRJL,1,12,2,oo
568,0,BG,sloond,20,1,1417,0,A1HH2KZIFLXRJL,1,13,2,u
569,0,BG,shrelth,0,1,1545,0,A1HH2KZIFLXRJL,0,14,2,a
570,0,GG,brur,10,0,2319,1,A1HH2KZIFLXRJL,1,15,2,o
571,0,GG,dwoond,14,0,2508,0,A1HH2KZIFLXRJL,1,16,2,i
572,0,BG,felmth,4,1,1573,0,A1HH2KZIFLXRJL,1,17,2,u
573,1,BB,glagd,9,1,1959,0,A1HH2KZIFLXRJL,0,18,2,u
574,1,GB,sklime,3,0,1248,0,A1HH2KZIFLXRJL,1,19,2,i
576,1,GB,slils,19,0,3441,0,A1HH2KZIFLXRJL,1,21,2,e
577,1,BB,skoths,1,1,1825,0,A1HH2KZIFLXRJL,0,22,2,e
578,1,GB,skuck,7,0,1448,0,A1HH2KZIFLXRJL,1,23,2,i
579,0,GG,gwempt,18,0,969,1,A1HH2KZIFLXRJL,1,24,2,a
