,BlockIDs,CodaViolation,Condition,Correct,EndTime,HIT,ItemID,Iteration,OnsetViolation,OptionOrder,OptionResources,OptionTexts,PageID,PageResources,PageText,Permutation,SelectedID,SelectedPosition,SelectedText,StartTime,TrialNumber,UniqueID,Version,Vowel,WorkerID,type,ReactionTime
10,[u'340'],False,GG,[None],1424807127000,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,7,1,False,"[u'89', u'88']","[[], []]","[u'fashk', u'brizz']",90,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'88'],[1],[u'brizz'],1424807126625,10,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,i,A2LD8A4LBTYELX,"[u'filler', u'test']",375
11,[u'340'],True,BB,[None],1424807127440,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,2,1,True,"[u'37', u'38']","[[], []]","[u'zbofk', u'felmth']",39,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'37'],[0],[u'zbofk'],1424807127003,11,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,o,A2LD8A4LBTYELX,"[u'test', u'filler']",437
12,[u'340'],False,GG,[None],1424807127761,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,3,1,False,"[u'40', u'41']","[[], []]","[u'glid', u'flelg']",42,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'41'],[1],[u'flelg'],1424807127443,12,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,i,A2LD8A4LBTYELX,"[u'test', u'filler']",318
13,[u'340'],False,BG,[None],1424807128112,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,13,1,True,"[u'166', u'167']","[[], []]","[u'vreb', u'throth']",168,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'166'],[0],[u'vreb'],1424807127763,13,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,e,A2LD8A4LBTYELX,"[u'test', u'filler']",349
14,[u'340'],True,GB,[None],1424807128456,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,16,1,False,"[u'199', u'200']","[[], []]","[u'smenb', u'sklime']",201,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'200'],[1],[u'sklime'],1424807128113,14,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,e,A2LD8A4LBTYELX,"[u'test', u'filler']",343
15,[u'340'],True,BB,[None],1424807128783,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,6,1,True,"[u'86', u'85']","[[], []]","[u'glagd', u'shlashk']",87,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'86'],[0],[u'glagd'],1424807128458,15,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,a,A2LD8A4LBTYELX,"[u'filler', u'test']",325
16,[u'340'],True,GB,[None],1424807129192,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,4,1,False,"[u'55', u'56']","[[], []]","[u'prumth', u'smim']",57,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'56'],[1],[u'smim'],1424807128786,16,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,u,A2LD8A4LBTYELX,"[u'test', u'filler']",406
17,[u'340'],True,GB,[None],1424807129552,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,12,1,False,"[u'151', u'152']","[[], []]","[u'krathp', u'spup']",153,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'151'],[0],[u'krathp'],1424807129195,17,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,a,A2LD8A4LBTYELX,"[u'test', u'filler']",357
18,[u'340'],True,BB,[None],1424807129977,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,22,1,True,"[u'277', u'278']","[[], []]","[u'lridb', u'skoths']",279,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'278'],[1],[u'skoths'],1424807129555,18,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,i,A2LD8A4LBTYELX,"[u'test', u'filler']",422
19,[u'340'],,"[u'GB', False, True]",[None],1424807130287,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,,1,,"[u'305', u'306']","[[], []]","[u'lbifth', u'slan']",304,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'305'],[0],[u'lbifth'],1424807129979,19,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,,A2LD8A4LBTYELX,"[u'catch-bad', u'catch-good']",308
20,[u'340'],True,BB,[None],1424807130647,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,18,1,True,"[u'229', u'230']","[[], []]","[u'vnathk', u'shesp']",231,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'230'],[1],[u'shesp'],1424807130289,20,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,a,A2LD8A4LBTYELX,"[u'test', u'filler']",358
21,[u'340'],False,BG,[None],1424807130943,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,17,1,True,"[u'214', u'215']","[[], []]","[u'fnooz', u'threlt']",216,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'214'],[0],[u'fnooz'],1424807130649,21,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,oo,A2LD8A4LBTYELX,"[u'test', u'filler']",294
22,[u'340'],True,BB,[None],1424807131519,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,14,1,True,"[u'181', u'182']","[[], []]","[u'znitp', u'skuck']",183,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'182'],[1],[u'skuck'],1424807130945,22,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,i,A2LD8A4LBTYELX,"[u'test', u'filler']",574
23,[u'340'],False,BG,[None],1424807132207,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,9,1,True,"[u'119', u'118']","[[], []]","[u'gralfth', u'shkun']",120,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'119'],[0],[u'gralfth'],1424807131521,23,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,u,A2LD8A4LBTYELX,"[u'filler', u'test']",686
24,[u'340'],True,BB,[None],1424807132520,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,10,1,True,"[u'134', u'133']","[[], []]","[u'blelth', u'shnozb']",135,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'134'],[0],[u'blelth'],1424807132209,24,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,o,A2LD8A4LBTYELX,"[u'filler', u'test']",311
25,[u'340'],False,BG,[None],1424807132775,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,5,1,True,"[u'70', u'71']","[[], []]","[u'zgoom', u'trilb']",72,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'70'],[0],[u'zgoom'],1424807132522,25,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,oo,A2LD8A4LBTYELX,"[u'test', u'filler']",253
26,[u'340'],True,GB,[None],1424807133336,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,0,1,False,"[u'8', u'7']","[[], []]","[u'dwoond', u'plavb']",9,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'7'],[1],[u'plavb'],1424807132778,26,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,a,A2LD8A4LBTYELX,"[u'filler', u'test']",558
27,[u'340'],True,GB,[None],1424807133767,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,8,1,False,"[u'104', u'103']","[[], []]","[u'slils', u'drefsh']",105,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'104'],[0],[u'slils'],1424807133339,27,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,e,A2LD8A4LBTYELX,"[u'filler', u'test']",428
28,[u'340'],False,GG,[None],1424807134424,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,11,1,False,"[u'137', u'136']","[[], []]","[u'skralk', u'stoob']",138,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'137'],[0],[u'skralk'],1424807133770,28,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,oo,A2LD8A4LBTYELX,"[u'filler', u'test']",654
29,[u'340'],,"[u'GG', False, False]",[None],1424807134888,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,,1,,"[u'302', u'301']","[[], []]","[u'velk', u'tmozb']",303,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'301'],[1],[u'tmozb'],1424807134426,29,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,,A2LD8A4LBTYELX,"[u'catch-good', u'catch-bad']",462
30,[u'474'],,,[None],1424807137577,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,,1,,[u'466'],[[]],[u''],467,[],What is your native language?,0,[u'466'],[0],[u'f '],1424807134895,30,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,,A2LD8A4LBTYELX,,2682
31,[u'474'],,,[None],1424807138411,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,,1,,[u'472'],[[]],[u''],473,[],"What information or strategies did you use to choose words in the
experimental questions?",0,[u'472'],[0],[u'f'],1424807137580,31,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,,A2LD8A4LBTYELX,,831
32,[u'474'],,,[None],1424807139391,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,,1,,[u'470'],[[]],[u''],471,[],Where do people typically think you're from?,0,[u'470'],[0],[u'f'],1424807138413,32,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,,A2LD8A4LBTYELX,,978
33,[u'474'],,,[None],1424807142747,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,,1,,"[u'341', u'342', u'343', u'344', u'345', u'346', u'347', u'348', u'349', u'350', u'351', u'352', u'353', u'354', u'355', u'356', u'357', u'358', u'359', u'360', u'361', u'362', u'363', u'364', u'365', u'366', u'367', u'368', u'369', u'370', u'371', u'372', u'373', u'374', u'375', u'376', u'377', u'378', u'379', u'380', u'381', u'382', u'383', u'384', u'385', u'386', u'387', u'388', u'389', u'390', u'391', u'392', u'393', u'394', u'395', u'396', u'397', u'398', u'399', u'400', u'401', u'402', u'403', u'404', u'405', u'406', u'407', u'408', u'409', u'410', u'411', u'412', u'413', u'414', u'415', u'416', u'417', u'418', u'419', u'420', u'421', u'422', u'423', u'424', u'425', u'426', u'427', u'428', u'429', u'430', u'431', u'432', u'433', u'434', u'435', u'436', u'437', u'438', u'439', u'440', u'441', u'442', u'443', u'444', u'445', u'446', u'447', u'448', u'449', u'450', u'451', u'452', u'453', u'454', u'455', u'456', u'457', u'458', u'459', u'460']","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119]",461,[],How old are you?,0,[u'342'],[1],[1],1424807139420,33,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,,A2LD8A4LBTYELX,,3327
34,[u'474'],,,[None],1424807146002,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,,1,,[u'468'],[[]],[u''],469,[],What language do you speak at home?,0,[u'468'],[0],[u'd'],1424807142753,34,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,,A2LD8A4LBTYELX,,3249
35,[u'474'],,,[None],1424807147832,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,,1,,"[u'464', u'462', u'463']","[[], [], []]","[u'other', u'male', u'female']",465,[],What is your sex?,0,[u'463'],[2],[u'female'],1424807146004,35,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,,A2LD8A4LBTYELX,,1828
36,[u'476'],,,,1424807148746,3V7ICJJAZAGBD3FDUFXVEXNTJXOB46,,1,,,,,475,[],Thank you for participating in this experiment!,0,,,,1424807147833,36,A2LD8A4LBTYELX:3UJ1CZ6IZHPUDSY99972YYYQ214S5J,1,,A2LD8A4LBTYELX,,913
37,[u'1'],,,,1424806901780,debugEOMGQE,,1,,,,,0,[],"In this experiment, you will be shown pairs of made-up words.
Pronounce the words to yourself. Based on how they sound, choose the one that you find more
English-like.",0,,,,1424806900605,0,debugNXHVF3:debugGAX5PR,0,,debugNXHVF3,,1175
38,[u'3'],,,,1424806902246,debugEOMGQE,,1,,,,,2,[],"During experimental questions, you will not be able to use your mouse. Use
the F key to choose the option on the left, the J key to choose the option
on the right, and the spacebar to move forward.",0,,,,1424806901783,1,debugNXHVF3:debugGAX5PR,0,,debugNXHVF3,,463
39,[u'340'],False,GG,[None],1424806902990,debugEOMGQE,16,1,False,"[u'197', u'196']","[[], []]","[u'felmth', u'smeck']",198,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'197'],[0],[u'felmth'],1424806902250,2,debugNXHVF3:debugGAX5PR,0,e,debugNXHVF3,"[u'filler', u'test']",740
40,[u'340'],False,GG,[None],1424806903246,debugEOMGQE,8,1,False,"[u'100', u'101']","[[], []]","[u'drell', u'smim']",102,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'100'],[0],[u'drell'],1424806902996,3,debugNXHVF3:debugGAX5PR,0,e,debugNXHVF3,"[u'test', u'filler']",250
41,[u'340'],False,GG,[None],1424806903518,debugEOMGQE,4,1,False,"[u'52', u'53']","[[], []]","[u'pruss', u'spelsh']",54,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'52'],[0],[u'pruss'],1424806903252,4,debugNXHVF3:debugGAX5PR,0,u,debugNXHVF3,"[u'test', u'filler']",266
42,[u'340'],,"[u'GB', False, True]",[None],1424806903717,debugEOMGQE,,1,,"[u'315', u'314']","[[], []]","[u'felp', u'krlisg']",313,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'315'],[0],[u'felp'],1424806903522,5,debugNXHVF3:debugGAX5PR,0,,debugNXHVF3,"[u'catch-good', u'catch-bad']",195
43,[u'340'],False,BG,[None],1424806903957,debugEOMGQE,2,1,True,"[u'35', u'34']","[[], []]","[u'threlt', u'zboss']",36,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'35'],[0],[u'threlt'],1424806903719,6,debugNXHVF3:debugGAX5PR,0,o,debugNXHVF3,"[u'filler', u'test']",238
44,[u'340'],False,BG,[None],1424806904174,debugEOMGQE,14,1,True,"[u'179', u'178']","[[], []]","[u'flelg', u'znin']",180,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'179'],[0],[u'flelg'],1424806903959,7,debugNXHVF3:debugGAX5PR,0,i,debugNXHVF3,"[u'filler', u'test']",215
45,[u'340'],True,GB,[None],1424806904373,debugEOMGQE,13,1,False,"[u'164', u'163']","[[], []]","[u'gwald', u'slemg']",165,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'164'],[0],[u'gwald'],1424806904177,8,debugNXHVF3:debugGAX5PR,0,e,debugNXHVF3,"[u'filler', u'test']",196
46,[u'340'],False,BG,[None],1424806904582,debugEOMGQE,18,1,True,"[u'226', u'227']","[[], []]","[u'vnad', u'dwoond']",228,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'226'],[0],[u'vnad'],1424806904375,9,debugNXHVF3:debugGAX5PR,0,a,debugNXHVF3,"[u'test', u'filler']",207
47,[u'340'],False,GG,[None],1424806904774,debugEOMGQE,0,1,False,"[u'5', u'4']","[[], []]","[u'shrelth', u'plag']",6,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'5'],[0],[u'shrelth'],1424806904584,10,debugNXHVF3:debugGAX5PR,0,a,debugNXHVF3,"[u'filler', u'test']",190
48,[u'340'],True,BB,[None],1424806904982,debugEOMGQE,3,1,True,"[u'50', u'49']","[[], []]","[u'skoths', u'srishf']",51,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'50'],[0],[u'skoths'],1424806904776,11,debugNXHVF3:debugGAX5PR,0,i,debugNXHVF3,"[u'filler', u'test']",206
49,[u'340'],False,BG,[None],1424806905174,debugEOMGQE,22,1,True,"[u'274', u'275']","[[], []]","[u'lrim', u'throth']",276,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'274'],[0],[u'lrim'],1424806904987,12,debugNXHVF3:debugGAX5PR,0,i,debugNXHVF3,"[u'test', u'filler']",187
50,[u'340'],False,BG,[None],1424806905365,debugEOMGQE,10,1,True,"[u'131', u'130']","[[], []]","[u'slils', u'shnog']",132,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'131'],[0],[u'slils'],1424806905176,13,debugNXHVF3:debugGAX5PR,0,o,debugNXHVF3,"[u'filler', u'test']",189
51,[u'340'],True,GB,[None],1424806905557,debugEOMGQE,9,1,False,"[u'115', u'116']","[[], []]","[u'gruzv', u'brur']",117,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'115'],[0],[u'gruzv'],1424806905367,14,debugNXHVF3:debugGAX5PR,0,u,debugNXHVF3,"[u'test', u'filler']",190
52,[u'340'],False,GG,[None],1424806905757,debugEOMGQE,20,1,False,"[u'245', u'244']","[[], []]","[u'sloond', u'swuff']",246,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'245'],[0],[u'sloond'],1424806905560,15,debugNXHVF3:debugGAX5PR,0,u,debugNXHVF3,"[u'filler', u'test']",197
53,[u'340'],False,BG,[None],1424806905949,debugEOMGQE,6,1,True,"[u'83', u'82']","[[], []]","[u'spup', u'shlaff']",84,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'83'],[0],[u'spup'],1424806905759,16,debugNXHVF3:debugGAX5PR,0,a,debugNXHVF3,"[u'filler', u'test']",190
54,[u'340'],False,GG,[None],1424806906141,debugEOMGQE,12,1,False,"[u'149', u'148']","[[], []]","[u'sklime', u'krat']",150,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'149'],[0],[u'sklime'],1424806905950,17,debugNXHVF3:debugGAX5PR,0,a,debugNXHVF3,"[u'filler', u'test']",191
55,[u'340'],True,BB,[None],1424806906332,debugEOMGQE,19,1,True,"[u'242', u'241']","[[], []]","[u'glagd', u'vmebg']",243,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'242'],[0],[u'glagd'],1424806906143,18,debugNXHVF3:debugGAX5PR,0,e,debugNXHVF3,"[u'filler', u'test']",189
56,[u'340'],True,GB,[None],1424806906542,debugEOMGQE,5,1,False,"[u'68', u'67']","[[], []]","[u'gwempt', u'trooshp']",69,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'68'],[0],[u'gwempt'],1424806906334,19,debugNXHVF3:debugGAX5PR,0,oo,debugNXHVF3,"[u'filler', u'test']",208
57,[u'340'],True,GB,[None],1424806906726,debugEOMGQE,1,1,False,"[u'20', u'19']","[[], []]","[u'gralfth', u'klefp']",21,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'20'],[0],[u'gralfth'],1424806906545,20,debugNXHVF3:debugGAX5PR,0,e,debugNXHVF3,"[u'filler', u'test']",181
58,[u'340'],True,BB,[None],1424806906926,debugEOMGQE,23,1,True,"[u'290', u'289']","[[], []]","[u'skralk', u'hroothf']",291,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'290'],[0],[u'skralk'],1424806906729,21,debugNXHVF3:debugGAX5PR,0,oo,debugNXHVF3,"[u'filler', u'test']",197
59,[u'340'],,"[u'BG', True, False]",[None],1424806907117,debugEOMGQE,,1,,"[u'327', u'326']","[[], []]","[u'lunt', u'psatr']",325,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'327'],[0],[u'lunt'],1424806906929,22,debugNXHVF3:debugGAX5PR,0,,debugNXHVF3,"[u'catch-good', u'catch-bad']",188
60,[u'340'],True,BB,[None],1424806907518,debugEOMGQE,15,1,True,"[u'194', u'193']","[[], []]","[u'fashk', u'zmopk']",195,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'193'],[1],[u'zmopk'],1424806907119,23,debugNXHVF3:debugGAX5PR,0,o,debugNXHVF3,"[u'filler', u'test']",399
61,[u'340'],,"[u'GG', False, False]",[None],1424806907750,debugEOMGQE,,1,,"[u'292', u'293']","[[], []]","[u'lbifth', u'slan']",294,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'292'],[0],[u'lbifth'],1424806907520,24,debugNXHVF3:debugGAX5PR,0,,debugNXHVF3,"[u'catch-bad', u'catch-good']",230
62,[u'340'],True,BB,[None],1424806907966,debugEOMGQE,11,1,True,"[u'146', u'145']","[[], []]","[u'blelth', u'thloosf']",147,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'146'],[0],[u'blelth'],1424806907753,25,debugNXHVF3:debugGAX5PR,0,oo,debugNXHVF3,"[u'filler', u'test']",213
63,[u'340'],True,GB,[None],1424806908173,debugEOMGQE,21,1,False,"[u'260', u'259']","[[], []]","[u'skuck', u'splogb']",261,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'260'],[0],[u'skuck'],1424806907969,26,debugNXHVF3:debugGAX5PR,0,o,debugNXHVF3,"[u'filler', u'test']",204
64,[u'340'],True,GB,[None],1424806908365,debugEOMGQE,17,1,False,"[u'211', u'212']","[[], []]","[u'throozg', u'trilb']",213,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'211'],[0],[u'throozg'],1424806908175,27,debugNXHVF3:debugGAX5PR,0,oo,debugNXHVF3,"[u'test', u'filler']",190
