,ChoseViolation,Item,NumberIterations,Permutation,ReactionTime,Segment,Subject,TestedOn,TrainedOn,TrialNumber,Violates,ViolationPosition
1283,0,415,1,1,3367,ng,A128BUMKWWS54Z,*NF,PlaceAssimilation,89,Place,0
1284,1,358,1,1,3310,d,A128BUMKWWS54Z,*DF,PlaceAssimilation,90,Voicing,0
1285,0,460,1,1,1782,n,A128BUMKWWS54Z,*NF,PlaceAssimilation,91,Place,1
1287,0,412,1,1,1742,n,A128BUMKWWS54Z,*NF,PlaceAssimilation,93,Place,1
1288,1,397,1,1,1630,b,A128BUMKWWS54Z,*DF,PlaceAssimilation,94,Voicing,1
1289,0,421,1,1,2805,ng,A128BUMKWWS54Z,*NF,PlaceAssimilation,95,Place,0
1290,1,367,1,1,1862,d,A128BUMKWWS54Z,*DF,PlaceAssimilation,96,Voicing,1
1292,1,346,1,1,1269,d,A128BUMKWWS54Z,*DF,PlaceAssimilation,98,Voicing,0
1293,0,451,1,1,1470,ng,A128BUMKWWS54Z,*NF,PlaceAssimilation,99,Place,1
1294,1,391,1,1,2229,b,A128BUMKWWS54Z,*DF,PlaceAssimilation,100,Voicing,0
1295,0,427,1,1,2734,ng,A128BUMKWWS54Z,*NF,PlaceAssimilation,101,Place,0
1296,1,382,1,1,2262,b,A128BUMKWWS54Z,*DF,PlaceAssimilation,102,Voicing,0
1297,0,424,1,1,3390,n,A128BUMKWWS54Z,*NF,PlaceAssimilation,103,Place,0
1298,1,376,1,1,1644,b,A128BUMKWWS54Z,*DF,PlaceAssimilation,104,Voicing,0
1299,0,457,1,1,1734,ng,A128BUMKWWS54Z,*NF,PlaceAssimilation,105,Place,0
1301,0,439,1,1,3534,ng,A128BUMKWWS54Z,*NF,PlaceAssimilation,107,Place,0
1302,1,379,1,1,1415,b,A128BUMKWWS54Z,*DF,PlaceAssimilation,108,Voicing,0
1304,1,364,1,1,1855,d,A128BUMKWWS54Z,*DF,PlaceAssimilation,110,Voicing,0
1305,0,454,1,1,2303,n,A128BUMKWWS54Z,*NF,PlaceAssimilation,111,Place,1
1306,1,394,1,1,1470,b,A128BUMKWWS54Z,*DF,PlaceAssimilation,112,Voicing,0
1307,0,463,1,1,1206,ng,A128BUMKWWS54Z,*NF,PlaceAssimilation,113,Place,0
1308,1,361,1,1,3423,d,A128BUMKWWS54Z,*DF,PlaceAssimilation,114,Voicing,1
1309,0,418,1,1,1693,n,A128BUMKWWS54Z,*NF,PlaceAssimilation,115,Place,1
1313,0,442,1,1,1126,n,A128BUMKWWS54Z,*NF,PlaceAssimilation,119,Place,0
1315,0,436,1,1,2622,n,A128BUMKWWS54Z,*NF,PlaceAssimilation,121,Place,0
1316,1,400,1,1,2340,b,A128BUMKWWS54Z,*DF,PlaceAssimilation,122,Voicing,0
1317,0,448,1,1,1126,n,A128BUMKWWS54Z,*NF,PlaceAssimilation,123,Place,1
1318,1,370,1,1,2222,d,A128BUMKWWS54Z,*DF,PlaceAssimilation,124,Voicing,1
1319,0,406,1,1,1638,n,A128BUMKWWS54Z,*NF,PlaceAssimilation,125,Place,1
1320,1,352,1,1,1310,d,A128BUMKWWS54Z,*DF,PlaceAssimilation,126,Voicing,0
1321,0,409,1,1,1469,ng,A128BUMKWWS54Z,*NF,PlaceAssimilation,127,Place,1
1322,0,388,1,1,3126,b,A128BUMKWWS54Z,*DF,PlaceAssimilation,128,Voicing,1
1323,0,445,1,1,1414,ng,A128BUMKWWS54Z,*NF,PlaceAssimilation,129,Place,0
1324,1,403,1,1,2726,b,A128BUMKWWS54Z,*DF,PlaceAssimilation,130,Voicing,0
1325,0,430,1,1,1142,n,A128BUMKWWS54Z,*NF,PlaceAssimilation,131,Place,0
1326,1,385,1,1,2333,b,A128BUMKWWS54Z,*DF,PlaceAssimilation,132,Voicing,1
1328,1,349,1,1,2286,d,A128BUMKWWS54Z,*DF,PlaceAssimilation,134,Voicing,1
1330,1,355,1,1,1142,d,A128BUMKWWS54Z,*DF,PlaceAssimilation,136,Voicing,1
1331,0,433,1,1,1574,ng,A128BUMKWWS54Z,*NF,PlaceAssimilation,137,Place,0
1332,1,373,1,1,1134,d,A128BUMKWWS54Z,*DF,PlaceAssimilation,138,Voicing,0
1683,0,394,1,1,3176,b,A12J4IRF5Z06BT,*DF,PlaceAssimilation,89,Voicing,1
1684,0,409,1,1,2156,ng,A12J4IRF5Z06BT,*NF,PlaceAssimilation,90,Place,0
1685,1,367,1,1,2851,d,A12J4IRF5Z06BT,*DF,PlaceAssimilation,91,Voicing,1
1686,0,460,1,1,1926,n,A12J4IRF5Z06BT,*NF,PlaceAssimilation,92,Place,1
1687,1,400,1,1,2839,b,A12J4IRF5Z06BT,*DF,PlaceAssimilation,93,Voicing,1
1689,1,373,1,1,1576,d,A12J4IRF5Z06BT,*DF,PlaceAssimilation,95,Voicing,1
1690,0,463,1,1,2174,ng,A12J4IRF5Z06BT,*NF,PlaceAssimilation,96,Place,1
1691,1,391,1,1,1978,b,A12J4IRF5Z06BT,*DF,PlaceAssimilation,97,Voicing,0
1692,0,427,1,1,2226,ng,A12J4IRF5Z06BT,*NF,PlaceAssimilation,98,Place,1
1695,1,346,1,1,1895,d,A12J4IRF5Z06BT,*DF,PlaceAssimilation,101,Voicing,1
1696,0,457,1,1,2435,ng,A12J4IRF5Z06BT,*NF,PlaceAssimilation,102,Place,1
1697,1,382,1,1,2624,b,A12J4IRF5Z06BT,*DF,PlaceAssimilation,103,Voicing,1
1699,1,361,1,1,1870,d,A12J4IRF5Z06BT,*DF,PlaceAssimilation,105,Voicing,1
1700,1,448,1,1,2613,n,A12J4IRF5Z06BT,*NF,PlaceAssimilation,106,Place,1
1701,0,376,1,1,3257,b,A12J4IRF5Z06BT,*DF,PlaceAssimilation,107,Voicing,1
1702,1,406,1,1,3606,n,A12J4IRF5Z06BT,*NF,PlaceAssimilation,108,Place,1
1703,1,403,1,1,3041,b,A12J4IRF5Z06BT,*DF,PlaceAssimilation,109,Voicing,0
1704,1,436,1,1,2797,n,A12J4IRF5Z06BT,*NF,PlaceAssimilation,110,Place,1
1705,1,355,1,1,1930,d,A12J4IRF5Z06BT,*DF,PlaceAssimilation,111,Voicing,1
1706,0,433,1,1,4092,ng,A12J4IRF5Z06BT,*NF,PlaceAssimilation,112,Place,1
1708,0,451,1,1,2211,ng,A12J4IRF5Z06BT,*NF,PlaceAssimilation,114,Place,1
1709,1,349,1,1,1531,d,A12J4IRF5Z06BT,*DF,PlaceAssimilation,115,Voicing,0
1710,0,430,1,1,1528,n,A12J4IRF5Z06BT,*NF,PlaceAssimilation,116,Place,0
1712,0,454,1,1,1406,n,A12J4IRF5Z06BT,*NF,PlaceAssimilation,118,Place,1
1714,0,418,1,1,1426,n,A12J4IRF5Z06BT,*NF,PlaceAssimilation,120,Place,1
1715,1,364,1,1,1499,d,A12J4IRF5Z06BT,*DF,PlaceAssimilation,121,Voicing,1
1716,1,442,1,1,2351,n,A12J4IRF5Z06BT,*NF,PlaceAssimilation,122,Place,0
1717,1,352,1,1,1567,d,A12J4IRF5Z06BT,*DF,PlaceAssimilation,123,Voicing,1
1718,0,445,1,1,1981,ng,A12J4IRF5Z06BT,*NF,PlaceAssimilation,124,Place,1
1719,1,370,1,1,1690,d,A12J4IRF5Z06BT,*DF,PlaceAssimilation,125,Voicing,0
1720,0,424,1,1,1809,n,A12J4IRF5Z06BT,*NF,PlaceAssimilation,126,Place,1
1721,0,388,1,1,2061,b,A12J4IRF5Z06BT,*DF,PlaceAssimilation,127,Voicing,0
1722,1,412,1,1,1922,n,A12J4IRF5Z06BT,*NF,PlaceAssimilation,128,Place,0
1723,0,397,1,1,2739,b,A12J4IRF5Z06BT,*DF,PlaceAssimilation,129,Voicing,0
1724,0,421,1,1,1925,ng,A12J4IRF5Z06BT,*NF,PlaceAssimilation,130,Place,1
1725,1,358,1,1,3405,d,A12J4IRF5Z06BT,*DF,PlaceAssimilation,131,Voicing,1
1727,1,379,1,1,1476,b,A12J4IRF5Z06BT,*DF,PlaceAssimilation,133,Voicing,0
1729,1,385,1,1,2480,b,A12J4IRF5Z06BT,*DF,PlaceAssimilation,135,Voicing,1
1730,0,439,1,1,1776,ng,A12J4IRF5Z06BT,*NF,PlaceAssimilation,136,Place,0
1732,0,415,1,1,4864,ng,A12J4IRF5Z06BT,*NF,PlaceAssimilation,138,Place,1
2029,1,352,5,1,2954,d,A130SV8LCTUDYH,*DF,PlaceAssimilation,289,Voicing,1
2030,1,433,5,1,1315,ng,A130SV8LCTUDYH,*NF,PlaceAssimilation,290,Place,1
2032,0,424,5,1,656,n,A130SV8LCTUDYH,*NF,PlaceAssimilation,292,Place,0
2033,0,355,5,1,1231,d,A130SV8LCTUDYH,*DF,PlaceAssimilation,293,Voicing,1
2034,1,421,5,1,711,ng,A130SV8LCTUDYH,*NF,PlaceAssimilation,294,Place,0
2036,0,436,5,1,856,n,A130SV8LCTUDYH,*NF,PlaceAssimilation,296,Place,1
2037,0,367,5,1,752,d,A130SV8LCTUDYH,*DF,PlaceAssimilation,297,Voicing,0
2039,1,391,5,1,935,b,A130SV8LCTUDYH,*DF,PlaceAssimilation,299,Voicing,1
2041,0,397,5,1,1330,b,A130SV8LCTUDYH,*DF,PlaceAssimilation,301,Voicing,0
2042,1,415,5,1,1400,ng,A130SV8LCTUDYH,*NF,PlaceAssimilation,302,Place,1
2043,0,382,5,1,1240,b,A130SV8LCTUDYH,*DF,PlaceAssimilation,303,Voicing,0
2045,1,361,5,1,865,d,A130SV8LCTUDYH,*DF,PlaceAssimilation,305,Voicing,0
2046,0,454,5,1,1070,n,A130SV8LCTUDYH,*NF,PlaceAssimilation,306,Place,0
2047,1,358,5,1,876,d,A130SV8LCTUDYH,*DF,PlaceAssimilation,307,Voicing,0
2048,1,451,5,1,921,ng,A130SV8LCTUDYH,*NF,PlaceAssimilation,308,Place,0
2049,0,388,5,1,626,b,A130SV8LCTUDYH,*DF,PlaceAssimilation,309,Voicing,0
2050,0,409,5,1,766,ng,A130SV8LCTUDYH,*NF,PlaceAssimilation,310,Place,0
2051,0,400,5,1,401,b,A130SV8LCTUDYH,*DF,PlaceAssimilation,311,Voicing,0
2052,1,418,5,1,586,n,A130SV8LCTUDYH,*NF,PlaceAssimilation,312,Place,1
2053,1,385,5,1,336,b,A130SV8LCTUDYH,*DF,PlaceAssimilation,313,Voicing,1
2054,0,412,5,1,311,n,A130SV8LCTUDYH,*NF,PlaceAssimilation,314,Place,0
2055,0,376,5,1,266,b,A130SV8LCTUDYH,*DF,PlaceAssimilation,315,Voicing,0
2056,0,406,5,1,236,n,A130SV8LCTUDYH,*NF,PlaceAssimilation,316,Place,0
2058,1,460,5,1,772,n,A130SV8LCTUDYH,*NF,PlaceAssimilation,318,Place,0
2060,1,457,5,1,592,ng,A130SV8LCTUDYH,*NF,PlaceAssimilation,320,Place,0
2061,1,346,5,1,496,d,A130SV8LCTUDYH,*DF,PlaceAssimilation,321,Voicing,1
2062,1,430,5,1,656,n,A130SV8LCTUDYH,*NF,PlaceAssimilation,322,Place,1
2063,1,364,5,1,596,d,A130SV8LCTUDYH,*DF,PlaceAssimilation,323,Voicing,0
2064,1,463,5,1,911,ng,A130SV8LCTUDYH,*NF,PlaceAssimilation,324,Place,1
2065,0,394,5,1,646,b,A130SV8LCTUDYH,*DF,PlaceAssimilation,325,Voicing,1
2066,1,448,5,1,716,n,A130SV8LCTUDYH,*NF,PlaceAssimilation,326,Place,1
2067,0,349,5,1,625,d,A130SV8LCTUDYH,*DF,PlaceAssimilation,327,Voicing,1
2069,1,373,5,1,581,d,A130SV8LCTUDYH,*DF,PlaceAssimilation,329,Voicing,0
2071,0,370,5,1,556,d,A130SV8LCTUDYH,*DF,PlaceAssimilation,331,Voicing,0
2072,1,427,5,1,510,ng,A130SV8LCTUDYH,*NF,PlaceAssimilation,332,Place,1
2074,1,442,5,1,1031,n,A130SV8LCTUDYH,*NF,PlaceAssimilation,334,Place,0
2075,0,403,5,1,501,b,A130SV8LCTUDYH,*DF,PlaceAssimilation,335,Voicing,1
2076,0,445,5,1,820,ng,A130SV8LCTUDYH,*NF,PlaceAssimilation,336,Place,0
2077,0,379,5,1,1125,b,A130SV8LCTUDYH,*DF,PlaceAssimilation,337,Voicing,0
2078,1,439,5,1,422,ng,A130SV8LCTUDYH,*NF,PlaceAssimilation,338,Place,1
2851,0,397,5,1,138,b,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,289,Voicing,1
2852,0,448,5,1,5117,n,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,290,Place,0
2853,1,370,5,1,5140,d,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,291,Voicing,1
2854,0,436,5,1,4432,n,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,292,Place,1
2855,0,376,5,1,1542,b,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,293,Voicing,0
2856,1,442,5,1,806,n,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,294,Place,0
2858,0,424,5,1,22661,n,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,296,Place,1
2859,1,349,5,1,1909,d,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,297,Voicing,0
2860,0,445,5,1,700,ng,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,298,Place,1
2861,0,379,5,1,2883,b,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,299,Voicing,0
2862,0,427,5,1,652,ng,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,300,Place,0
2863,1,352,5,1,208,d,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,301,Voicing,1
2865,0,391,5,1,184,b,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,303,Voicing,0
2866,1,460,5,1,180,n,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,304,Place,1
2868,1,418,5,1,176,n,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,306,Place,1
2869,1,388,5,1,185,b,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,307,Voicing,1
2870,1,415,5,1,238,ng,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,308,Place,1
2871,1,358,5,1,364,d,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,309,Voicing,0
2872,0,409,5,1,212,ng,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,310,Place,1
2874,1,439,5,1,229,ng,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,312,Place,1
2875,0,385,5,1,422,b,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,313,Voicing,1
2876,1,451,5,1,276,ng,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,314,Place,1
2877,1,364,5,1,486,d,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,315,Voicing,1
2878,1,433,5,1,269,ng,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,316,Place,0
2880,1,430,5,1,165,n,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,318,Place,1
2881,1,400,5,1,207,b,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,319,Voicing,1
2882,0,457,5,1,209,ng,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,320,Place,1
2883,1,361,5,1,220,d,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,321,Voicing,1
2885,0,367,5,1,349,d,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,323,Voicing,0
2886,1,421,5,1,229,ng,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,324,Place,1
2887,0,355,5,1,188,d,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,325,Voicing,0
2889,1,403,5,1,202,b,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,327,Voicing,1
2891,0,382,5,1,189,b,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,329,Voicing,0
2892,1,454,5,1,216,n,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,330,Place,1
2893,1,373,5,1,192,d,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,331,Voicing,1
2894,1,463,5,1,212,ng,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,332,Place,1
2895,0,346,5,1,213,d,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,333,Voicing,0
2897,0,394,5,1,200,b,A13Y8BFNLLB5U2,*DF,PlaceAssimilation,335,Voicing,0
2898,0,412,5,1,216,n,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,336,Place,0
2900,0,406,5,1,200,n,A13Y8BFNLLB5U2,*NF,PlaceAssimilation,338,Place,0
3098,0,439,3,0,4203,ng,A14WLAP6TCEKO0,*NF,Devoicing,190,Place,1
3099,1,352,3,0,1057,d,A14WLAP6TCEKO0,*DF,Devoicing,191,Voicing,1
3100,1,463,3,0,678,ng,A14WLAP6TCEKO0,*NF,Devoicing,192,Place,1
3102,0,421,3,0,543,ng,A14WLAP6TCEKO0,*NF,Devoicing,194,Place,1
3103,1,391,3,0,536,b,A14WLAP6TCEKO0,*DF,Devoicing,195,Voicing,0
3104,1,436,3,0,575,n,A14WLAP6TCEKO0,*NF,Devoicing,196,Place,1
3105,0,388,3,0,627,b,A14WLAP6TCEKO0,*DF,Devoicing,197,Voicing,0
3106,1,448,3,0,616,n,A14WLAP6TCEKO0,*NF,Devoicing,198,Place,1
3107,0,346,3,0,546,d,A14WLAP6TCEKO0,*DF,Devoicing,199,Voicing,1
3108,1,412,3,0,577,n,A14WLAP6TCEKO0,*NF,Devoicing,200,Place,0
3109,1,355,3,0,577,d,A14WLAP6TCEKO0,*DF,Devoicing,201,Voicing,1
3110,0,460,3,0,606,n,A14WLAP6TCEKO0,*NF,Devoicing,202,Place,0
3112,0,430,3,0,492,n,A14WLAP6TCEKO0,*NF,Devoicing,204,Place,1
3113,0,376,3,0,540,b,A14WLAP6TCEKO0,*DF,Devoicing,205,Voicing,1
3114,1,445,3,0,1216,ng,A14WLAP6TCEKO0,*NF,Devoicing,206,Place,1
3115,1,400,3,0,628,b,A14WLAP6TCEKO0,*DF,Devoicing,207,Voicing,1
3116,0,427,3,0,572,ng,A14WLAP6TCEKO0,*NF,Devoicing,208,Place,1
3117,1,370,3,0,605,d,A14WLAP6TCEKO0,*DF,Devoicing,209,Voicing,0
3118,0,433,3,0,650,ng,A14WLAP6TCEKO0,*NF,Devoicing,210,Place,0
3119,1,367,3,0,630,d,A14WLAP6TCEKO0,*DF,Devoicing,211,Voicing,1
3120,1,418,3,0,571,n,A14WLAP6TCEKO0,*NF,Devoicing,212,Place,1
3121,0,364,3,0,491,d,A14WLAP6TCEKO0,*DF,Devoicing,213,Voicing,1
3122,0,424,3,0,899,n,A14WLAP6TCEKO0,*NF,Devoicing,214,Place,1
3123,0,379,3,0,666,b,A14WLAP6TCEKO0,*DF,Devoicing,215,Voicing,1
3125,0,385,3,0,597,b,A14WLAP6TCEKO0,*DF,Devoicing,217,Voicing,0
3127,1,349,3,0,678,d,A14WLAP6TCEKO0,*DF,Devoicing,219,Voicing,0
3129,1,382,3,0,789,b,A14WLAP6TCEKO0,*DF,Devoicing,221,Voicing,0
3132,1,454,3,0,588,n,A14WLAP6TCEKO0,*NF,Devoicing,224,Place,1
3133,0,403,3,0,627,b,A14WLAP6TCEKO0,*DF,Devoicing,225,Voicing,1
3134,0,442,3,0,684,n,A14WLAP6TCEKO0,*NF,Devoicing,226,Place,1
3135,0,397,3,0,852,b,A14WLAP6TCEKO0,*DF,Devoicing,227,Voicing,1
3136,0,457,3,0,597,ng,A14WLAP6TCEKO0,*NF,Devoicing,228,Place,1
3137,0,373,3,0,621,d,A14WLAP6TCEKO0,*DF,Devoicing,229,Voicing,1
3138,0,409,3,0,617,ng,A14WLAP6TCEKO0,*NF,Devoicing,230,Place,0
3139,0,358,3,0,558,d,A14WLAP6TCEKO0,*DF,Devoicing,231,Voicing,0
3140,0,406,3,0,543,n,A14WLAP6TCEKO0,*NF,Devoicing,232,Place,0
3141,0,394,3,0,854,b,A14WLAP6TCEKO0,*DF,Devoicing,233,Voicing,1
3142,1,451,3,0,525,ng,A14WLAP6TCEKO0,*NF,Devoicing,234,Place,0
3143,0,361,3,0,592,d,A14WLAP6TCEKO0,*DF,Devoicing,235,Voicing,1
3144,1,415,3,0,587,ng,A14WLAP6TCEKO0,*NF,Devoicing,236,Place,0
3293,0,460,2,0,3192,n,A15K0L6NGQXOM0,*NF,Devoicing,139,Place,0
3294,0,403,2,0,4990,b,A15K0L6NGQXOM0,*DF,Devoicing,140,Voicing,1
3295,1,421,2,0,4078,ng,A15K0L6NGQXOM0,*NF,Devoicing,141,Place,1
3296,0,376,2,0,3129,b,A15K0L6NGQXOM0,*DF,Devoicing,142,Voicing,0
3297,1,409,2,0,2823,ng,A15K0L6NGQXOM0,*NF,Devoicing,143,Place,0
3298,0,370,2,0,3140,d,A15K0L6NGQXOM0,*DF,Devoicing,144,Voicing,0
3299,0,442,2,0,2430,n,A15K0L6NGQXOM0,*NF,Devoicing,145,Place,0
3300,0,388,2,0,1992,b,A15K0L6NGQXOM0,*DF,Devoicing,146,Voicing,0
3301,1,433,2,0,2554,ng,A15K0L6NGQXOM0,*NF,Devoicing,147,Place,1
3304,0,361,2,0,3214,d,A15K0L6NGQXOM0,*DF,Devoicing,150,Voicing,0
3305,0,463,2,0,2610,ng,A15K0L6NGQXOM0,*NF,Devoicing,151,Place,1
3306,1,349,2,0,3966,d,A15K0L6NGQXOM0,*DF,Devoicing,152,Voicing,0
3308,0,394,2,0,3889,b,A15K0L6NGQXOM0,*DF,Devoicing,154,Voicing,1
3309,1,406,2,0,1889,n,A15K0L6NGQXOM0,*NF,Devoicing,155,Place,0
3310,0,367,2,0,4099,d,A15K0L6NGQXOM0,*DF,Devoicing,156,Voicing,0
3311,1,448,2,0,2717,n,A15K0L6NGQXOM0,*NF,Devoicing,157,Place,0
3312,0,400,2,0,2532,b,A15K0L6NGQXOM0,*DF,Devoicing,158,Voicing,1
3313,0,412,2,0,2905,n,A15K0L6NGQXOM0,*NF,Devoicing,159,Place,0
3314,1,373,2,0,2144,d,A15K0L6NGQXOM0,*DF,Devoicing,160,Voicing,1
3315,0,445,2,0,1899,ng,A15K0L6NGQXOM0,*NF,Devoicing,161,Place,1
3317,1,418,2,0,2542,n,A15K0L6NGQXOM0,*NF,Devoicing,163,Place,0
3318,0,352,2,0,4079,d,A15K0L6NGQXOM0,*DF,Devoicing,164,Voicing,0
3319,0,424,2,0,1998,n,A15K0L6NGQXOM0,*NF,Devoicing,165,Place,0
3321,0,427,2,0,1734,ng,A15K0L6NGQXOM0,*NF,Devoicing,167,Place,0
3322,0,391,2,0,2537,b,A15K0L6NGQXOM0,*DF,Devoicing,168,Voicing,0
3323,0,436,2,0,3003,n,A15K0L6NGQXOM0,*NF,Devoicing,169,Place,1
3324,1,355,2,0,3338,d,A15K0L6NGQXOM0,*DF,Devoicing,170,Voicing,1
3326,0,382,2,0,3900,b,A15K0L6NGQXOM0,*DF,Devoicing,172,Voicing,0
3328,1,364,2,0,1817,d,A15K0L6NGQXOM0,*DF,Devoicing,174,Voicing,0
3329,0,439,2,0,2291,ng,A15K0L6NGQXOM0,*NF,Devoicing,175,Place,1
3330,1,397,2,0,2378,b,A15K0L6NGQXOM0,*DF,Devoicing,176,Voicing,1
3331,0,454,2,0,1750,n,A15K0L6NGQXOM0,*NF,Devoicing,177,Place,0
3333,0,430,2,0,2848,n,A15K0L6NGQXOM0,*NF,Devoicing,179,Place,1
3334,0,346,2,0,2836,d,A15K0L6NGQXOM0,*DF,Devoicing,180,Voicing,0
3335,0,451,2,0,2724,ng,A15K0L6NGQXOM0,*NF,Devoicing,181,Place,0
3336,0,385,2,0,2281,b,A15K0L6NGQXOM0,*DF,Devoicing,182,Voicing,1
3338,0,358,2,0,2105,d,A15K0L6NGQXOM0,*DF,Devoicing,184,Voicing,0
