Transaction ID,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
3RAQ50SQ141JQWKAN2ZAVWZNFJGTDL,2015-03-17 12:37:03 -0700,2015-03-17 20:51:38 -0700,FeePayment,,Mechanical Turk,-0.075,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3W8CV64QJ2ZOO6M515DG6OJ9OGTH9W
30PF6JKQFX1QU9BHQAK9FQ3O49YLR5,2015-03-17 12:37:04 -0700,2015-03-17 17:12:10 -0700,AssignmentPayment,,A33B85TN97HQ33,-0.750,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3X65QVEQI0NS80CY4A2506DOBI7CLH
395D8FNHY2FJGVN1NCNAX7EHJP8HCY,2015-03-17 12:37:04 -0700,2015-03-17 20:51:38 -0700,FeePayment,,Mechanical Turk,-0.075,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3X65QVEQI0NS80CY4A2506DOBI7CLH
3LX64KD7YL9E6M1ZSD5PTBVU2CEWA1,2015-03-17 12:37:04 -0700,2015-03-17 19:07:14 -0700,AssignmentPayment,,AKM7BAAH9OPGW,-0.750,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3I3WADAZ9Q4FF06G2SVPEHB8E6PO51
3CZO0ZAW2JLS4Y74AYU9134CR5MRV4,2015-03-17 12:37:04 -0700,2015-03-17 20:51:38 -0700,FeePayment,,Mechanical Turk,-0.075,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3I3WADAZ9Q4FF06G2SVPEHB8E6PO51
3ITCY70EZIQOJSSL0CE2XSI390AANO,2015-03-17 12:37:05 -0700,2015-03-17 18:52:47 -0700,AssignmentPayment,,A2EN5NPUSZ4N09,-0.750,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3UJ1CZ6IZHPUDSY999CYYML9BVSS52
3HPL6QLTCRU173D7AHG1YUT8KK768G,2015-03-17 12:37:05 -0700,2015-03-17 20:51:38 -0700,FeePayment,,Mechanical Turk,-0.075,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3UJ1CZ6IZHPUDSY999CYYML9BVSS52
34CE7SUBLPURFOMFMGJZWLLN9PTR72,2015-03-17 12:37:05 -0700,2015-03-17 19:07:49 -0700,AssignmentPayment,,A2BICWCPAW5N7O,-0.750,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3COPXFW7XBC0IJ3KOFCA56ZGL1IKP1
3JSFHD31R5ILFQD8BVTN4HQVMETMS6,2015-03-17 12:37:05 -0700,2015-03-17 20:51:38 -0700,FeePayment,,Mechanical Turk,-0.075,3FJ2RVH25Z6IMWLTSI57U0HOM7L299,3COPXFW7XBC0IJ3KOFCA56ZGL1IKP1
3N1FKKXCF4HGSMN8SGDB89IB91R63F,2015-03-18 12:49:47 -0700,2015-03-18 18:42:19 -0700,AssignmentPayment,,A3B3QCDURXCHIT,-0.750,3DTJ4WT8BDFPN3FMP0U79PS6YDCZE0,31QNSG6A5RTRHCXJJ4LQFFZ4Q9R78B
3UBOQOIC15K9L9ZQBSTG0KSRRFT1OG,2015-03-18 12:49:47 -0700,2015-03-18 18:01:34 -0700,FeePayment,,Mechanical Turk,-0.075,3DTJ4WT8BDFPN3FMP0U79PS6YDCZE0,31QNSG6A5RTRHCXJJ4LQFFZ4Q9R78B
3IGQ8PP741AKT3MFWCIG3BIHJIIA5D,2015-03-20 13:42:11 -0700,2015-03-20 17:05:22 -0700,AssignmentPayment,,A2OMWZZ5IHPJUD,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3GU1KF0O4I1ZPGZQI2ZH63GQYBUPBF
3FOURE22RW1BU3DPRSNWSF08JYQ5QP,2015-03-20 13:42:11 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3GU1KF0O4I1ZPGZQI2ZH63GQYBUPBF
3FEQNLHZIEFWPB7POZ4F5071IHG3HQ,2015-03-20 13:42:15 -0700,2015-03-20 17:07:59 -0700,AssignmentPayment,,A2OS3NGWKOM69E,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3XCC1ODXDLB75ZHUEC0W6NB4LTKQRL
3KS476AS3NES9YVTW54BL1904RIZ2A,2015-03-20 13:42:15 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3XCC1ODXDLB75ZHUEC0W6NB4LTKQRL
38TUNLZ37CR66T0383RA2E28KV4TVN,2015-03-20 13:42:00 -0700,2015-03-20 17:10:14 -0700,AssignmentPayment,,A30NCQLYA0099E,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,373ERPL3YO8KXF9MVGURBSMR50FRTW
3A276MS28HTOAO1U8BRYW71N4BHPGZ,2015-03-20 13:42:00 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,373ERPL3YO8KXF9MVGURBSMR50FRTW
31WFN1W0X50HFOZBITUNOEKX5MRA3N,2015-03-20 13:42:09 -0700,2015-03-20 17:10:21 -0700,AssignmentPayment,,A25ZFH3PBOTIIW,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3OVR4I9USPJ04TFW304JYU0UTFZ4QF
3H4GVNW718189R09CFVS3A584X85OH,2015-03-20 13:42:09 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3OVR4I9USPJ04TFW304JYU0UTFZ4QF
30RM92T63HHCBFGJT9GF2FVO224F35,2015-03-20 13:41:08 -0700,2015-03-20 17:11:37 -0700,AssignmentPayment,,A19FK8L3UPPO17,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3IXQG4FA2TYEXTJJ1D3KKDGBT789B0
3NIIKBV28U25FXCQ7BM9BLLUWB9AOS,2015-03-20 13:41:08 -0700,2015-03-20 19:35:17 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3IXQG4FA2TYEXTJJ1D3KKDGBT789B0
32J864QZ8CC9Y0IUF3CV6GVO75VC1W,2015-03-20 13:42:10 -0700,2015-03-20 17:15:00 -0700,AssignmentPayment,,A1SZZ9S12FYSJ6,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3HWRJOOET52U9BR2KA512GRMOSEESK
3DS64G7C5GPZWSTGNSVC9QUZ03L7MG,2015-03-20 13:42:10 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3HWRJOOET52U9BR2KA512GRMOSEESK
38SPQFBN1JJ583W927QEU9AL5P9C3O,2015-03-20 13:42:14 -0700,2015-03-20 17:17:06 -0700,AssignmentPayment,,A2SYRFPPV9WDEG,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3OLQQLKKNSP1A88CXGWNAF0ZS91EJ4
3SP4OU33BBFNWVES08AP1UJ4V307OV,2015-03-20 13:42:14 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3OLQQLKKNSP1A88CXGWNAF0ZS91EJ4
3A7G6XCI71TEPNTNMN2I994LTQ929P,2015-03-20 13:42:18 -0700,2015-03-20 17:17:14 -0700,AssignmentPayment,,A1IZAAWW80IWQ1,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3A1COHJ8NJVOA13VWD726SOY4E48HZ
3TPE4SSULVBCOF4GE7QWUZOHFI5XUV,2015-03-20 13:42:18 -0700,2015-03-20 19:35:17 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3A1COHJ8NJVOA13VWD726SOY4E48HZ
3D8R5UYTSGNKY6ESNAX1YFCAO79ICX,2015-03-20 13:42:08 -0700,2015-03-20 17:17:27 -0700,AssignmentPayment,,A30AFC17LLJFV6,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,358010RM5ETJ73ZN9A0Y1SW032IXVG
3NTGWL7OTWUQ7DTUSC07KZKTTIBDX2,2015-03-20 13:42:08 -0700,2015-03-20 19:35:17 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,358010RM5ETJ73ZN9A0Y1SW032IXVG
3D5A66GS9F0IM3OF6YHWWTGRYGOI8R,2015-03-20 13:41:56 -0700,2015-03-20 17:22:56 -0700,AssignmentPayment,,AHDTAKW2W77VS,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3180JW2OT4C1EPFJMF3K6LUMFGZJ55
3RAQ50SQ141JQWKAN2ZAVWZNGMNDTJ,2015-03-20 13:41:56 -0700,2015-03-20 19:35:17 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3180JW2OT4C1EPFJMF3K6LUMFGZJ55
3T83MESMI424ZH5QQJX9W6GJS6Y7BK,2015-03-20 13:42:15 -0700,2015-03-20 17:23:53 -0700,AssignmentPayment,,A150GMV1YQWWB3,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3MH9DQ757WC882FXFAQPHKUMM5GUGZ
3E71ATICBVXOF3QOLIK4MXFINPG2WP,2015-03-20 13:42:15 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3MH9DQ757WC882FXFAQPHKUMM5GUGZ
3RI91X5NQDQI0H6430PWSFPCKHPAZJ,2015-03-20 13:42:10 -0700,2015-03-20 17:26:13 -0700,AssignmentPayment,,A37KXQSC31UBD7,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3NQL1CS15R8878PXE6M0K63958CVYK
36X50IG9O7NL24F8J6D4OZ2ZGN86KD,2015-03-20 13:42:10 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3NQL1CS15R8878PXE6M0K63958CVYK
3LLGHFPBQQ42TYAJZ6QYG07GQN8MVF,2015-03-20 13:41:55 -0700,2015-03-20 17:35:16 -0700,AssignmentPayment,,A2WLGVXAVT2XTR,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3Q8GYXHFEP2E6B9DCNMYJHHRPWOC5I
31NSWZKO2BJWT2EQVG1ENA0BIXMIGG,2015-03-20 13:41:55 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3Q8GYXHFEP2E6B9DCNMYJHHRPWOC5I
3ME9Z12FTM6AB45U7Q4YVDDFY0L27D,2015-03-20 13:42:17 -0700,2015-03-20 17:43:42 -0700,AssignmentPayment,,A1DGNROKR9QK50,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3YMU66OBIN833G9DFBJQY55WSXFHGM
32JJE4SR0JYW92CCP2VWFY6TULKXSF,2015-03-20 13:42:17 -0700,2015-03-20 19:35:17 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3YMU66OBIN833G9DFBJQY55WSXFHGM
3EH367H91UZQ5GV183V5XPLDOUB5KM,2015-03-20 13:42:09 -0700,2015-03-20 17:47:10 -0700,AssignmentPayment,,A16AVRDSVD10B6,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3M81GAB8A0JKPS05IFE6686037FQB6
3P6WM6BAV4YNDZT86DXHRES0BMX15P,2015-03-20 13:42:09 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3M81GAB8A0JKPS05IFE6686037FQB6
3HYJ2259VEYKIZAL44IENPYQ8RGKWJ,2015-03-20 13:40:59 -0700,2015-03-20 17:48:03 -0700,AssignmentPayment,,A3KSOAD08L2DGK,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3NKQQ8O39Y55WI56DKPHBZRP9DTUDI
3XNERGAJA55WX736PYJTNYZWIK8GHM,2015-03-20 13:40:59 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3NKQQ8O39Y55WI56DKPHBZRP9DTUDI
3S2W4733N2AZW0X80REM1T5NETOZLQ,2015-03-20 13:40:57 -0700,2015-03-20 17:50:56 -0700,AssignmentPayment,,A89UB4E3GSYXI,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3Z9WI9EOZZO8525W5245WXXPZEOHKH
3NTORMD0DXWZIF9KIARBQ8DGWLFV6O,2015-03-20 13:40:57 -0700,2015-03-20 19:35:17 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3Z9WI9EOZZO8525W5245WXXPZEOHKH
3KI2CCNR79Q4VYWZBUBWWKESEZ89Z4,2015-03-20 13:42:03 -0700,2015-03-20 17:51:55 -0700,AssignmentPayment,,A2S80WYXEUZ9NX,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3ZPPDN2SLVWC4WV3B45ALLMWW4NE97
3EE3EBG2ZM5PJ0FUEN3ZWTOZKSY5KX,2015-03-20 13:42:03 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3ZPPDN2SLVWC4WV3B45ALLMWW4NE97
3H1ATA2PWJP8D0TJ5GVTA27PNWJ9BV,2015-03-20 13:42:18 -0700,2015-03-20 17:53:34 -0700,AssignmentPayment,,A27BKFN6UB1LDP,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3Z7VU45IPYHSQMJ43E4URP5VMYD1ZW
3NOLLE65I2TYIH5BPW3SFCCG7394WK,2015-03-20 13:42:18 -0700,2015-03-20 19:35:17 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3Z7VU45IPYHSQMJ43E4URP5VMYD1ZW
35YMNEIPARQO745LJ5028MJ6JZGKYI,2015-03-20 13:42:02 -0700,2015-03-20 17:54:31 -0700,AssignmentPayment,,A11WC4G8LOMYQO,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3KWTYT0870379F3JP0FXM07EJ54L59
311XF9PG8PJSODYWDYMEZBFBVCCGJR,2015-03-20 13:42:02 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3KWTYT0870379F3JP0FXM07EJ54L59
3M17CBE7V0OLBOQTSZJD50LT46S979,2015-03-20 13:41:58 -0700,2015-03-20 18:08:07 -0700,AssignmentPayment,,A19KF02ULCISTQ,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3D8YOU6S9EK6B9QR3XH35THXSR8U6S
31S2VNLQKA15B0O25RTRIN9V1QD4S5,2015-03-20 13:41:58 -0700,2015-03-20 19:35:17 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3D8YOU6S9EK6B9QR3XH35THXSR8U6S
3JZKYPYQBSCA0RT2QMLOF3ID5HVMRM,2015-03-20 13:41:00 -0700,2015-03-20 18:10:56 -0700,AssignmentPayment,,AKO4O0L9613K5,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3X4JMASXCM9W1ZV61HKRR2FIQ3E0BF
3D5RDYXMQ8TJCQYLTU5VXJFWK5UIC6,2015-03-20 13:41:00 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3X4JMASXCM9W1ZV61HKRR2FIQ3E0BF
3XL1H8H9Z162UFRIWX1UVU21WM6L0L,2015-03-20 13:42:07 -0700,2015-03-20 18:12:21 -0700,AssignmentPayment,,ADVZAZ12Z8N9J,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3I33IC7ZWF2YEZTSAQO9FFOR5JH2AA
3KPQU6N0MLAYJ3MWGJYRFQS3Z1HGLT,2015-03-20 13:42:07 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3I33IC7ZWF2YEZTSAQO9FFOR5JH2AA
34F5QJUGCWO2S592EVGSO23P5RQZV9,2015-03-20 13:42:08 -0700,2015-03-20 18:13:56 -0700,AssignmentPayment,,AVTGI51AT4R3C,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3OUYGIZWR7YY5TWGKM2SMMK777X0P4
3W2ZGIEDBFO1F8YQUN0X2ZQ5QZIVGQ,2015-03-20 13:42:08 -0700,2015-03-20 19:35:17 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3OUYGIZWR7YY5TWGKM2SMMK777X0P4
3LHT2RHZE85PK00TC4U1EL9CJOOZNS,2015-03-20 13:41:00 -0700,2015-03-20 18:18:59 -0700,AssignmentPayment,,A9E880JOJWCOI,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,37TD41K0AH9FCD7OOJZ6CSRJ3GWSC0
38HHYT9AGBBMMTS8BPO9AM972G5V8A,2015-03-20 13:41:00 -0700,2015-03-20 19:35:17 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,37TD41K0AH9FCD7OOJZ6CSRJ3GWSC0
3JS9BEWWGYTSGH2FCZ70HDNGV9K3JV,2015-03-20 13:42:16 -0700,2015-03-20 18:30:34 -0700,AssignmentPayment,,AFN5VMMGYPF1I,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,33CID57104T4V0GFBHR4739U59IL3O
3T9OIRYLAUA2CCAG0JNZEG6YO5EZ46,2015-03-20 13:42:16 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,33CID57104T4V0GFBHR4739U59IL3O
3YKF2JRV0J8NFD5D90GDNKF486AZTT,2015-03-20 13:42:05 -0700,2015-03-20 18:31:52 -0700,AssignmentPayment,,A16644NV37L66P,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,32ZKVD547FNSIRU3K42AT0DPTF1B3O
3INCC4VPI0R3VU2ZOSA92W5TDJ3VE9,2015-03-20 13:42:05 -0700,2015-03-20 19:35:17 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,32ZKVD547FNSIRU3K42AT0DPTF1B3O
3XD7MYFNFO2FDV2N23LPEFS3QPN3DH,2015-03-20 13:42:05 -0700,2015-03-20 18:34:04 -0700,AssignmentPayment,,A3JI3B5GTVA95F,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3R9WASFE2ZGJG1DCADJFGR9PN8SFZ7
3UXQPJR1D1XI5TEVT49NGY13DC9YYZ,2015-03-20 13:42:05 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3R9WASFE2ZGJG1DCADJFGR9PN8SFZ7
3KTGFTT0EJT48C0D2HZ73CUBQL9U58,2015-03-20 13:42:17 -0700,2015-03-20 18:35:18 -0700,AssignmentPayment,,A4B4Y9O084VOD,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3XM0HYN6NKZXWJBAST177BMB18APEI
3CZ0VS4FH35FNDV8B7WAQL5PAYQPQU,2015-03-20 13:42:17 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3XM0HYN6NKZXWJBAST177BMB18APEI
386WB6DBARIH321DUVRJFH0MWUS4I6,2015-03-20 13:42:16 -0700,2015-03-20 18:36:07 -0700,AssignmentPayment,,A2CU75UPXCS8J6,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3P4MQ7TPPXCXLMYGZXHGBJB1H7IBBJ
3901CQQKMMHKSVLMWB5OYCB6SY103W,2015-03-20 13:42:16 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3P4MQ7TPPXCXLMYGZXHGBJB1H7IBBJ
3UW8YGE4E103A5P6QNGNSJ9DZ48390,2015-03-20 13:41:01 -0700,2015-03-20 18:42:45 -0700,AssignmentPayment,,A3EDFNG7NA7V0I,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3907X2AHF05513ZUZ9665ADM45D2PM
3B7Z44T9L8Q1OKUQJ3CYDDVQHOYYU1,2015-03-20 13:41:01 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3907X2AHF05513ZUZ9665ADM45D2PM
31V2NJMXMIV6XG49Z7LXJJ695SSS4K,2015-03-20 13:40:57 -0700,2015-03-20 18:42:47 -0700,AssignmentPayment,,AMWIBULQ4S8K3,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,34S6N1K2ZVJJP8NEQ2G6BXA4OETHLK
39NGL12PGVZUKGIGVF4TMRAK5N2NP4,2015-03-20 13:40:57 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,34S6N1K2ZVJJP8NEQ2G6BXA4OETHLK
38KUSC05QHR5X9OU6K70W8JDSCE1VN,2015-03-20 13:41:42 -0700,2015-03-20 18:43:45 -0700,AssignmentPayment,,A2STG331R3P3FK,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,382M9COHEHFAOOJ69F01HH9A9PVEUW
3MQZJ3QQRU1TJX3LU21FQKNQ6AQXGV,2015-03-20 13:41:42 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,382M9COHEHFAOOJ69F01HH9A9PVEUW
3KFH0Z7CUHMFQ3WKACNBZZYH6ZA9X7,2015-03-20 13:41:59 -0700,2015-03-20 18:50:30 -0700,AssignmentPayment,,A3GLK1KZBI9AYV,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3I2PTA7R3TULIV4ZOSRZ5BPQQ1MQKO
30VFLWJ4F89YD5P6EKINJD9MSO95IM,2015-03-20 13:41:59 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3I2PTA7R3TULIV4ZOSRZ5BPQQ1MQKO
31QSOVLV4JDXFIUXPWTKO6XPMZ1IG7,2015-03-20 13:42:15 -0700,2015-03-20 18:51:33 -0700,AssignmentPayment,,A2ZZT874YBX28H,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3ND9UOO81K21MYI3L126C0KR32DLWV
3CJMTVT6PSBN9IM1HEQKV8YDOFXE14,2015-03-20 13:42:15 -0700,2015-03-20 19:35:17 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3ND9UOO81K21MYI3L126C0KR32DLWV
3Y8UVXCI6W4X1YTP6Z8IKTGY8NM1XQ,2015-03-20 13:41:56 -0700,2015-03-20 18:52:13 -0700,AssignmentPayment,,A27WQKJ0EAA6SK,-0.750,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3UWN2HHPUY5Y3H4FD98KS3LV2KCNSF
39UD2RJ5OSL7FO9GKQ1IBW06LNIXIN,2015-03-20 13:41:56 -0700,2015-03-20 19:35:16 -0700,FeePayment,,Mechanical Turk,-0.075,3LN3BXKGC0VJDM68K80OAOJ0USJGW6,3UWN2HHPUY5Y3H4FD98KS3LV2KCNSF
